str_code,spu_code,sub_cate_name,category_type,cluster_id,eligibility_status,eligibility_reason,recommendation,store_temperature
12025,SPU_针织衫_00056,针织衫,transition,4,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.036578593800236
12027,SPU_T恤_00057,T恤,summer,25,ELIGIBLE,Product appropriate for current season,NONE,26.507774738569594
12028,SPU_短裤_00058,短裤,summer,29,ELIGIBLE,Product appropriate for current season,NONE,29.387898735713545
12030,SPU_短袖_00059,短袖,summer,0,ELIGIBLE,Product appropriate for current season,NONE,29.636289173094735
12031,SPU_内衣_00060,内衣,all_season,4,ELIGIBLE,Product appropriate for current season,NONE,29.649323276635297
12033,SPU_配饰_00061,配饰,all_season,24,ELIGIBLE,Product appropriate for current season,NONE,33.58025962934096
12034,SPU_直筒裤_00062,直筒裤,core,4,ELIGIBLE,Core subcategory '直筒裤' - always eligible,ADD,28.660135468327137
12037,SPU_束脚裤_00063,束脚裤,core,11,ELIGIBLE,Core subcategory '束脚裤' - always eligible,ADD,20.637095495468
12038,SPU_锥形裤_00064,锥形裤,core,25,ELIGIBLE,Core subcategory '锥形裤' - always eligible,ADD,31.06961860769697
12039,SPU_羽绒服_00065,羽绒服,winter,12,INELIGIBLE,Winter product not appropriate for summer period,NONE,29.126176769114267
12040,SPU_棉服_00066,棉服,winter,12,INELIGIBLE,Winter product not appropriate for summer period,NONE,29.289940273750183
12041,SPU_毛呢大_00067,毛呢大衣,winter,15,INELIGIBLE,Winter product not appropriate for summer period,NONE,33.26457466107742
12046,SPU_夹克_00068,夹克,transition,13,INELIGIBLE,Transition product not appropriate for summer period,NONE,20.912866767861335
12050,SPU_针织衫_00069,针织衫,transition,0,INELIGIBLE,Transition product not appropriate for summer period,NONE,24.484455219783197
12060,SPU_T恤_00070,T恤,summer,25,ELIGIBLE,Product appropriate for current season,NONE,31.84427214191831
12062,SPU_短裤_00071,短裤,summer,4,ELIGIBLE,Product appropriate for current season,ADD,33.3155627413745
12063,SPU_短袖_00072,短袖,summer,4,ELIGIBLE,Product appropriate for current season,NONE,21.516840141841854
12065,SPU_内衣_00073,内衣,all_season,0,ELIGIBLE,Product appropriate for current season,NONE,21.220231709628496
12066,SPU_配饰_00074,配饰,all_season,0,ELIGIBLE,Product appropriate for current season,NONE,34.20872866075788
12067,SPU_直筒裤_00075,直筒裤,core,4,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,26.1680849947161
12069,SPU_束脚裤_00076,束脚裤,core,12,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,24.373212839882527
12071,SPU_锥形裤_00077,锥形裤,core,0,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,26.667375301943192
12072,SPU_羽绒服_00078,羽绒服,winter,25,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.63222539440611
12074,SPU_棉服_00079,棉服,winter,0,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.929647961193005
12076,SPU_毛呢大_00080,毛呢大衣,winter,4,INELIGIBLE,Winter product not appropriate for summer period,NONE,31.957486889846173
12078,SPU_夹克_00081,夹克,transition,0,INELIGIBLE,Transition product not appropriate for summer period,NONE,22.809631895922305
12079,SPU_针织衫_00082,针织衫,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,21.881211597237613
12080,SPU_T恤_00083,T恤,summer,13,ELIGIBLE,Product appropriate for current season,NONE,34.79316116719404
13003,SPU_短裤_00084,短裤,summer,4,ELIGIBLE,Product appropriate for current season,NONE,22.43925409017337
13005,SPU_短袖_00085,短袖,summer,24,ELIGIBLE,Product appropriate for current season,NONE,26.273645544359283
13015,SPU_内衣_00086,内衣,all_season,4,ELIGIBLE,Product appropriate for current season,NONE,32.158299961727494
13028,SPU_配饰_00087,配饰,all_season,7,ELIGIBLE,Product appropriate for current season,NONE,32.63178384703563
13030,SPU_直筒裤_00088,直筒裤,core,15,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,32.29444752510106
13031,SPU_束脚裤_00089,束脚裤,core,12,ELIGIBLE,Core subcategory '束脚裤' - always eligible,ADD,33.89531459764856
13032,SPU_锥形裤_00090,锥形裤,core,4,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,27.123492689017603
13033,SPU_羽绒服_00091,羽绒服,winter,15,INELIGIBLE,Winter product not appropriate for summer period,NONE,31.715731955927996
13035,SPU_棉服_00092,棉服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.609379715353864
13036,SPU_毛呢大_00093,毛呢大衣,winter,25,INELIGIBLE,Winter product not appropriate for summer period,NONE,31.203095513534645
13037,SPU_夹克_00094,夹克,transition,7,INELIGIBLE,Transition product not appropriate for summer period,NONE,25.89917686854633
13038,SPU_针织衫_00095,针织衫,transition,0,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.836530127411432
13042,SPU_T恤_00096,T恤,summer,4,ELIGIBLE,Product appropriate for current season,NONE,33.89881437742242
13046,SPU_短裤_00097,短裤,summer,25,ELIGIBLE,Product appropriate for current season,ADD,24.93127415431262
13056,SPU_短袖_00098,短袖,summer,12,ELIGIBLE,Product appropriate for current season,NONE,22.278540402684417
13057,SPU_内衣_00099,内衣,all_season,15,ELIGIBLE,Product appropriate for current season,NONE,27.109424603943086
13058,SPU_配饰_00100,配饰,all_season,12,ELIGIBLE,Product appropriate for current season,NONE,24.17885508547938
13060,SPU_直筒裤_00101,直筒裤,core,12,ELIGIBLE,Core subcategory '直筒裤' - always eligible,ADD,22.28539722096151
13063,SPU_束脚裤_00102,束脚裤,core,4,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,16.635180638977438
13068,SPU_锥形裤_00103,锥形裤,core,15,ELIGIBLE,Core subcategory '锥形裤' - always eligible,ADD,29.965193807673167
13072,SPU_羽绒服_00104,羽绒服,winter,4,INELIGIBLE,Winter product not appropriate for summer period,NONE,28.689136395697723
13087,SPU_棉服_00105,棉服,winter,4,INELIGIBLE,Winter product not appropriate for summer period,NONE,33.95206837687199
13091,SPU_毛呢大_00106,毛呢大衣,winter,15,INELIGIBLE,Winter product not appropriate for summer period,NONE,27.424705036347298
13095,SPU_夹克_00107,夹克,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,23.274973521779145
13098,SPU_针织衫_00108,针织衫,transition,4,INELIGIBLE,Transition product not appropriate for summer period,NONE,24.984421989290574
13102,SPU_T恤_00109,T恤,summer,25,ELIGIBLE,Product appropriate for current season,NONE,21.913704541933456
13105,SPU_短裤_00110,短裤,summer,7,ELIGIBLE,Product appropriate for current season,ADD,34.79772873189469
13106,SPU_短袖_00111,短袖,summer,12,ELIGIBLE,Product appropriate for current season,ADD,22.410220598893336
13109,SPU_内衣_00112,内衣,all_season,26,ELIGIBLE,Product appropriate for current season,NONE,27.86767084355382
13110,SPU_配饰_00113,配饰,all_season,15,ELIGIBLE,Product appropriate for current season,NONE,32.982606888409705
13117,SPU_直筒裤_00114,直筒裤,core,15,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,26.135257860278596
13118,SPU_束脚裤_00115,束脚裤,core,15,ELIGIBLE,Core subcategory '束脚裤' - always eligible,ADD,23.508728772328336
13119,SPU_锥形裤_00116,锥形裤,core,7,ELIGIBLE,Core subcategory '锥形裤' - always eligible,ADD,26.624764428452245
13121,SPU_羽绒服_00117,羽绒服,winter,25,INELIGIBLE,Winter product not appropriate for summer period,NONE,26.34414676938974
13123,SPU_棉服_00118,棉服,winter,22,INELIGIBLE,Winter product not appropriate for summer period,NONE,31.815027222239294
13127,SPU_毛呢大_00119,毛呢大衣,winter,15,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.29529144247826
13130,SPU_夹克_00120,夹克,transition,13,INELIGIBLE,Transition product not appropriate for summer period,NONE,21.812330661656603
13134,SPU_针织衫_00121,针织衫,transition,7,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.952673118598902
13135,SPU_T恤_00122,T恤,summer,22,ELIGIBLE,Product appropriate for current season,NONE,27.84598137153679
13139,SPU_短裤_00123,短裤,summer,2,ELIGIBLE,Product appropriate for current season,NONE,25.654166441373615
13142,SPU_短袖_00124,短袖,summer,7,ELIGIBLE,Product appropriate for current season,NONE,33.49361859911853
13144,SPU_内衣_00125,内衣,all_season,15,ELIGIBLE,Product appropriate for current season,NONE,34.09748185420213
13145,SPU_配饰_00126,配饰,all_season,24,ELIGIBLE,Product appropriate for current season,NONE,28.001916379644822
13146,SPU_直筒裤_00127,直筒裤,core,25,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,29.878925851453538
13147,SPU_束脚裤_00128,束脚裤,core,25,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,31.425146093440258
13148,SPU_锥形裤_00129,锥形裤,core,25,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,17.998348546975475
13149,SPU_羽绒服_00130,羽绒服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.427244433475963
13151,SPU_棉服_00131,棉服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,29.0085141676364
13153,SPU_毛呢大_00132,毛呢大衣,winter,11,INELIGIBLE,Winter product not appropriate for summer period,NONE,31.11454235434648
13155,SPU_夹克_00133,夹克,transition,25,INELIGIBLE,Transition product not appropriate for summer period,NONE,29.224993811772958
14003,SPU_针织衫_00134,针织衫,transition,5,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.364442356247228
14006,SPU_T恤_00135,T恤,summer,22,ELIGIBLE,Product appropriate for current season,NONE,32.58347129668901
14009,SPU_短裤_00136,短裤,summer,11,ELIGIBLE,Product appropriate for current season,NONE,25.985040558051953
14010,SPU_短袖_00137,短袖,summer,24,ELIGIBLE,Product appropriate for current season,NONE,25.97253040386415
14011,SPU_内衣_00138,内衣,all_season,4,ELIGIBLE,Product appropriate for current season,NONE,26.783269113347107
14012,SPU_配饰_00139,配饰,all_season,21,ELIGIBLE,Product appropriate for current season,NONE,26.28388174256822
14019,SPU_直筒裤_00140,直筒裤,core,12,ELIGIBLE,Core subcategory '直筒裤' - always eligible,ADD,28.270747440334212
14021,SPU_束脚裤_00141,束脚裤,core,13,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,34.93748503691895
14023,SPU_锥形裤_00142,锥形裤,core,6,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,32.96108578881427
14024,SPU_羽绒服_00143,羽绒服,winter,22,INELIGIBLE,Winter product not appropriate for summer period,NONE,25.657086394283525
14028,SPU_棉服_00144,棉服,winter,15,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.596403313082178
14029,SPU_毛呢大_00145,毛呢大衣,winter,12,INELIGIBLE,Winter product not appropriate for summer period,NONE,27.70744673143554
15001,SPU_夹克_00146,夹克,transition,22,INELIGIBLE,Transition product not appropriate for summer period,NONE,26.589239419101514
15002,SPU_针织衫_00147,针织衫,transition,7,INELIGIBLE,Transition product not appropriate for summer period,NONE,21.041085819845737
15003,SPU_T恤_00148,T恤,summer,22,ELIGIBLE,Product appropriate for current season,NONE,23.64758286499181
15004,SPU_短裤_00149,短裤,summer,26,ELIGIBLE,Product appropriate for current season,NONE,23.074764431237316
15006,SPU_短袖_00150,短袖,summer,12,ELIGIBLE,Product appropriate for current season,NONE,20.397983058107297
15007,SPU_内衣_00151,内衣,all_season,12,ELIGIBLE,Product appropriate for current season,NONE,25.12726027546814
15008,SPU_配饰_00152,配饰,all_season,26,ELIGIBLE,Product appropriate for current season,NONE,26.141174782868607
15010,SPU_直筒裤_00153,直筒裤,core,26,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,17.802263515329052
15011,SPU_束脚裤_00154,束脚裤,core,12,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,15.449386166402348
15012,SPU_锥形裤_00155,锥形裤,core,5,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,31.69860473598598
15013,SPU_羽绒服_00156,羽绒服,winter,21,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.14298806560499
15017,SPU_棉服_00157,棉服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,33.29741803707201
15018,SPU_毛呢大_00158,毛呢大衣,winter,22,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.974131021703084
15019,SPU_夹克_00159,夹克,transition,5,INELIGIBLE,Transition product not appropriate for summer period,NONE,23.831385282494974
15021,SPU_针织衫_00160,针织衫,transition,5,INELIGIBLE,Transition product not appropriate for summer period,NONE,26.031521094663884
15023,SPU_T恤_00161,T恤,summer,26,ELIGIBLE,Product appropriate for current season,NONE,24.456825734347625
15025,SPU_短裤_00162,短裤,summer,3,ELIGIBLE,Product appropriate for current season,ADD,23.224105678861353
15026,SPU_短袖_00163,短袖,summer,12,ELIGIBLE,Product appropriate for current season,NONE,28.95264273375334
15027,SPU_内衣_00164,内衣,all_season,26,ELIGIBLE,Product appropriate for current season,NONE,27.432369743092977
15028,SPU_配饰_00165,配饰,all_season,7,ELIGIBLE,Product appropriate for current season,NONE,30.4204470628164
15029,SPU_直筒裤_00166,直筒裤,core,26,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,17.736372618379228
15031,SPU_束脚裤_00167,束脚裤,core,26,ELIGIBLE,Core subcategory '束脚裤' - always eligible,ADD,29.644497728191222
15032,SPU_锥形裤_00168,锥形裤,core,26,ELIGIBLE,Core subcategory '锥形裤' - always eligible,ADD,24.788499272862808
15033,SPU_羽绒服_00169,羽绒服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.25248317415666
21019,SPU_棉服_00170,棉服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,27.973490073725507
21022,SPU_毛呢大_00171,毛呢大衣,winter,26,INELIGIBLE,Winter product not appropriate for summer period,NONE,33.4454939853507
21024,SPU_夹克_00172,夹克,transition,12,INELIGIBLE,Transition product not appropriate for summer period,NONE,21.20566885777279
21027,SPU_针织衫_00173,针织衫,transition,22,INELIGIBLE,Transition product not appropriate for summer period,NONE,23.152903378306103
21039,SPU_T恤_00174,T恤,summer,21,ELIGIBLE,Product appropriate for current season,NONE,29.23794782273457
21048,SPU_短裤_00175,短裤,summer,7,ELIGIBLE,Product appropriate for current season,NONE,27.93405701040818
21055,SPU_短袖_00176,短袖,summer,22,ELIGIBLE,Product appropriate for current season,ADD,26.028963704138633
21056,SPU_内衣_00177,内衣,all_season,12,ELIGIBLE,Product appropriate for current season,NONE,26.266501732510008
21058,SPU_配饰_00178,配饰,all_season,26,ELIGIBLE,Product appropriate for current season,NONE,24.308584874811228
21061,SPU_直筒裤_00179,直筒裤,core,22,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,23.555462674717248
21063,SPU_束脚裤_00180,束脚裤,core,7,ELIGIBLE,Core subcategory '束脚裤' - always eligible,ADD,16.78822004624519
21064,SPU_锥形裤_00181,锥形裤,core,7,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,18.340678921841505
21066,SPU_羽绒服_00182,羽绒服,winter,7,INELIGIBLE,Winter product not appropriate for summer period,NONE,30.126885110165087
21068,SPU_棉服_00183,棉服,winter,22,INELIGIBLE,Winter product not appropriate for summer period,NONE,28.501252591667303
21073,SPU_毛呢大_00184,毛呢大衣,winter,1,INELIGIBLE,Winter product not appropriate for summer period,NONE,26.738952492194873
21076,SPU_夹克_00185,夹克,transition,5,INELIGIBLE,Transition product not appropriate for summer period,NONE,22.244405718366608
21077,SPU_针织衫_00186,针织衫,transition,26,INELIGIBLE,Transition product not appropriate for summer period,NONE,28.774608626303802
21078,SPU_T恤_00187,T恤,summer,22,ELIGIBLE,Product appropriate for current season,NONE,32.14274112087317
21084,SPU_短裤_00188,短裤,summer,26,ELIGIBLE,Product appropriate for current season,ADD,23.896306756404893
21085,SPU_短袖_00189,短袖,summer,22,ELIGIBLE,Product appropriate for current season,NONE,21.141962892354503
21086,SPU_内衣_00190,内衣,all_season,22,ELIGIBLE,Product appropriate for current season,ADD,25.217138118532894
21090,SPU_配饰_00191,配饰,all_season,26,ELIGIBLE,Product appropriate for current season,NONE,29.87677751987638
22003,SPU_直筒裤_00192,直筒裤,core,26,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,28.602815435206008
31012,SPU_束脚裤_00193,束脚裤,core,3,ELIGIBLE,Core subcategory '束脚裤' - always eligible,ADD,15.584945660691183
31021,SPU_锥形裤_00194,锥形裤,core,10,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,31.359340482381242
31024,SPU_羽绒服_00195,羽绒服,winter,27,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.811861780274235
31025,SPU_棉服_00196,棉服,winter,1,INELIGIBLE,Winter product not appropriate for summer period,NONE,26.069806388269583
31026,SPU_毛呢大_00197,毛呢大衣,winter,27,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.320281055100175
31027,SPU_夹克_00198,夹克,transition,10,INELIGIBLE,Transition product not appropriate for summer period,NONE,27.081720886452814
31029,SPU_针织衫_00199,针织衫,transition,27,INELIGIBLE,Transition product not appropriate for summer period,NONE,28.715368061523762
31030,SPU_T恤_00200,T恤,summer,1,ELIGIBLE,Product appropriate for current season,NONE,20.368803746882023
31031,SPU_短裤_00201,短裤,summer,5,ELIGIBLE,Product appropriate for current season,NONE,26.688540595651226
31035,SPU_短袖_00202,短袖,summer,27,ELIGIBLE,Product appropriate for current season,NONE,31.922143231248942
31037,SPU_内衣_00203,内衣,all_season,1,ELIGIBLE,Product appropriate for current season,ADD,24.09889290497314
31039,SPU_配饰_00204,配饰,all_season,10,ELIGIBLE,Product appropriate for current season,NONE,29.57788921496128
31040,SPU_直筒裤_00205,直筒裤,core,10,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,19.599092117821723
31050,SPU_束脚裤_00206,束脚裤,core,10,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,24.464198133831143
31056,SPU_锥形裤_00207,锥形裤,core,17,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,31.895664562337753
31058,SPU_羽绒服_00208,羽绒服,winter,3,INELIGIBLE,Winter product not appropriate for summer period,NONE,31.16650314520738
31061,SPU_棉服_00209,棉服,winter,27,INELIGIBLE,Winter product not appropriate for summer period,NONE,29.303058948994625
31064,SPU_毛呢大_00210,毛呢大衣,winter,27,INELIGIBLE,Winter product not appropriate for summer period,NONE,32.97559100637188
31066,SPU_夹克_00211,夹克,transition,10,INELIGIBLE,Transition product not appropriate for summer period,NONE,24.799388347171234
31067,SPU_针织衫_00212,针织衫,transition,27,INELIGIBLE,Transition product not appropriate for summer period,NONE,20.396188253483572
31077,SPU_T恤_00213,T恤,summer,17,ELIGIBLE,Product appropriate for current season,NONE,27.48332230177034
31091,SPU_短裤_00214,短裤,summer,5,ELIGIBLE,Product appropriate for current season,NONE,27.76567465077067
31097,SPU_短袖_00215,短袖,summer,5,ELIGIBLE,Product appropriate for current season,ADD,21.990736310645904
31105,SPU_内衣_00216,内衣,all_season,27,ELIGIBLE,Product appropriate for current season,ADD,21.568517605016005
31109,SPU_配饰_00217,配饰,all_season,17,ELIGIBLE,Product appropriate for current season,NONE,28.119445029516058
31111,SPU_直筒裤_00218,直筒裤,core,3,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,31.296502274930244
31120,SPU_束脚裤_00219,束脚裤,core,17,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,27.8715539039305
31125,SPU_锥形裤_00220,锥形裤,core,27,ELIGIBLE,Core subcategory '锥形裤' - always eligible,NONE,18.190893602263767
31131,SPU_羽绒服_00221,羽绒服,winter,10,INELIGIBLE,Winter product not appropriate for summer period,NONE,32.896985071424794
31134,SPU_棉服_00222,棉服,winter,10,INELIGIBLE,Winter product not appropriate for summer period,NONE,34.96333916056742
31136,SPU_毛呢大_00223,毛呢大衣,winter,17,INELIGIBLE,Winter product not appropriate for summer period,NONE,25.30652502205806
31139,SPU_夹克_00224,夹克,transition,17,INELIGIBLE,Transition product not appropriate for summer period,NONE,24.254933344480754
31140,SPU_针织衫_00225,针织衫,transition,3,INELIGIBLE,Transition product not appropriate for summer period,NONE,25.786754085723935
31141,SPU_T恤_00226,T恤,summer,17,ELIGIBLE,Product appropriate for current season,NONE,26.32581390310183
31147,SPU_短裤_00227,短裤,summer,17,ELIGIBLE,Product appropriate for current season,NONE,29.47340330138781
31150,SPU_短袖_00228,短袖,summer,17,ELIGIBLE,Product appropriate for current season,NONE,23.563149873858166
31151,SPU_内衣_00229,内衣,all_season,3,ELIGIBLE,Product appropriate for current season,NONE,33.06124851908767
31154,SPU_配饰_00230,配饰,all_season,17,ELIGIBLE,Product appropriate for current season,NONE,25.866223049776412
31156,SPU_直筒裤_00231,直筒裤,core,27,ELIGIBLE,Core subcategory '直筒裤' - always eligible,NONE,17.617473214366996
31157,SPU_束脚裤_00232,束脚裤,core,1,ELIGIBLE,Core subcategory '束脚裤' - always eligible,NONE,25.395478971120355
