str_code,spu_code,sub_cate_name,cluster_id,quantity,simulated_season,cluster_mean,cluster_std,cluster_count,z_score,is_imbalanced,recommended_change
32685,UNDERWEAR_0051,内衣,9,15,all,15.0,,1,0.0,False,0.0
34336,TSHIRT_0052,T恤,21,30,summer,30.0,,1,0.0,False,0.0
45140,WOOL_0053,毛呢大衣,1,0,winter,0.0,,1,0.0,False,0.0
50051,WOOL_0054,毛呢大衣,11,0,winter,0.0,,1,0.0,False,0.0
45148,SHORTS_0055,短裤,44,18,summer,18.0,,1,0.0,False,0.0
32750,UNDERWEAR_0056,内衣,22,13,all,13.0,,1,0.0,False,0.0
44367,ACCESSORY_0057,配饰,24,21,all,21.0,,1,0.0,False,0.0
32709,UNDERWEAR_0058,内衣,5,7,all,7.0,,1,0.0,False,0.0
37074,KNIT_0059,针织衫,10,10,transition,10.0,,1,0.0,False,0.0
35048,SHORTS_0060,短裤,19,12,summer,12.0,,1,0.0,False,0.0
64005,WOOL_0061,毛呢大衣,14,1,winter,1.0,,1,0.0,False,0.0
53102,TSHIRT_0062,T恤,27,29,summer,29.0,,1,0.0,False,0.0
32648,DOWN_0063,羽绒服,9,1,winter,1.0,,1,0.0,False,0.0
41180,SHORT_SLV_0064,短袖,6,23,summer,23.0,,1,0.0,False,0.0
44534,PADDED_0065,棉服,44,0,winter,0.0,,1,0.0,False,0.0
33689,UNDERWEAR_0066,内衣,8,9,all,9.0,,1,0.0,False,0.0
42091,SHORT_SLV_0067,短袖,4,21,summer,21.0,,1,0.0,False,0.0
34351,WOOL_0068,毛呢大衣,9,1,winter,1.0,,1,0.0,False,0.0
33685,WOOL_0069,毛呢大衣,8,2,winter,2.0,,1,0.0,False,0.0
32590,TSHIRT_0070,T恤,9,23,summer,23.0,,1,0.0,False,0.0
33387,DOWN_0071,羽绒服,8,1,winter,1.0,,1,0.0,False,0.0
33694,DOWN_0072,羽绒服,5,0,winter,0.0,,1,0.0,False,0.0
32565,DOWN_0073,羽绒服,9,0,winter,0.0,,1,0.0,False,0.0
36041,KNIT_0074,针织衫,4,10,transition,10.0,,1,0.0,False,0.0
34160,SHORT_SLV_0075,短袖,29,25,summer,25.0,,1,0.0,False,0.0
32002,KNIT_0076,针织衫,9,11,transition,11.0,,1,0.0,False,0.0
34323,KNIT_0077,针织衫,21,10,transition,10.0,,1,0.0,False,0.0
51041,DOWN_0078,羽绒服,16,0,winter,0.0,,1,0.0,False,0.0
44302,TSHIRT_0079,T恤,26,21,summer,21.0,,1,0.0,False,0.0
32608,WOOL_0080,毛呢大衣,9,0,winter,0.0,,1,0.0,False,0.0
15008,ACCESSORY_0081,配饰,41,18,all,18.0,,1,0.0,False,0.0
41081,ACCESSORY_0082,配饰,6,22,all,22.0,,1,0.0,False,0.0
31175,SHORTS_0083,短裤,5,26,summer,26.0,,1,0.0,False,0.0
42036,ACCESSORY_0084,配饰,10,20,all,20.0,,1,0.0,False,0.0
33633,SHORT_SLV_0085,短袖,0,25,summer,25.0,,1,0.0,False,0.0
32535,ACCESSORY_0086,配饰,9,14,all,14.0,,1,0.0,False,0.0
45041,SHORTS_0087,短裤,24,19,summer,19.0,,1,0.0,False,0.0
34395,PADDED_0088,棉服,21,0,winter,0.0,,1,0.0,False,0.0
32620,TSHIRT_0089,T恤,9,18,summer,18.0,,1,0.0,False,0.0
44190,ACCESSORY_0090,配饰,1,15,all,15.0,,1,0.0,False,0.0
43066,KNIT_0091,针织衫,4,13,transition,13.0,,1,0.0,False,0.0
34307,JACKET_0092,夹克,21,7,transition,7.0,,1,0.0,False,0.0
11151,WOOL_0093,毛呢大衣,2,1,winter,1.0,,1,0.0,False,0.0
31236,PADDED_0094,棉服,5,0,winter,0.0,,1,0.0,False,0.0
13127,WOOL_0095,毛呢大衣,41,1,winter,1.0,,1,0.0,False,0.0
34201,SHORTS_0096,短裤,21,15,summer,15.0,,1,0.0,False,0.0
44470,SHORTS_0097,短裤,24,16,summer,16.0,,1,0.0,False,0.0
34342,UNDERWEAR_0098,内衣,21,13,all,13.0,,1,0.0,False,0.0
32720,DOWN_0099,羽绒服,3,0,winter,0.0,,1,0.0,False,0.0
34288,TSHIRT_0100,T恤,3,32,summer,32.0,,1,0.0,False,0.0
33585,SHORTS_0101,短裤,8,27,summer,27.0,,1,0.0,False,0.0
33195,KNIT_0102,针织衫,22,6,transition,6.0,,1,0.0,False,0.0
15007,WOOL_0103,毛呢大衣,42,2,winter,2.0,,1,0.0,False,0.0
36041,KNIT_0104,针织衫,4,9,transition,9.0,,1,0.0,False,0.0
33690,JACKET_0105,夹克,22,6,transition,6.0,,1,0.0,False,0.0
32402,ACCESSORY_0106,配饰,21,21,all,21.0,,1,0.0,False,0.0
43153,DOWN_0107,羽绒服,10,2,winter,2.0,,1,0.0,False,0.0
51175,ACCESSORY_0108,配饰,16,26,all,26.0,,1,0.0,False,0.0
43147,DOWN_0109,羽绒服,4,2,winter,2.0,,1,0.0,False,0.0
32521,SHORT_SLV_0110,短袖,9,24,summer,24.0,,1,0.0,False,0.0
33501,SHORT_SLV_0111,短袖,22,28,summer,28.0,,1,0.0,False,0.0
45087,PADDED_0112,棉服,44,2,winter,2.0,,1,0.0,False,0.0
43160,WOOL_0113,毛呢大衣,34,0,winter,0.0,,1,0.0,False,0.0
41170,SHORT_SLV_0114,短袖,6,18,summer,18.0,,1,0.0,False,0.0
33334,ACCESSORY_0115,配饰,22,19,all,19.0,,1,0.0,False,0.0
43129,PADDED_0116,棉服,4,0,winter,0.0,,1,0.0,False,0.0
43185,SHORT_SLV_0117,短袖,10,10,summer,10.0,,1,0.0,False,0.0
33259,KNIT_0118,针织衫,22,10,transition,10.0,,1,0.0,False,0.0
45014,UNDERWEAR_0119,内衣,1,17,all,17.0,,1,0.0,False,0.0
61100,WOOL_0120,毛呢大衣,41,0,winter,0.0,,1,0.0,False,0.0
34033,SHORTS_0121,短裤,21,20,summer,20.0,,1,0.0,False,0.0
52077,SHORT_SLV_0122,短袖,37,23,summer,23.0,,1,0.0,False,0.0
42138,SHORTS_0123,短裤,4,26,summer,26.0,,1,0.0,False,0.0
33540,DOWN_0124,羽绒服,22,0,winter,0.0,,1,0.0,False,0.0
37167,WOOL_0125,毛呢大衣,10,0,winter,0.0,,1,0.0,False,0.0
43153,UNDERWEAR_0126,内衣,10,13,all,13.0,,1,0.0,False,0.0
44427,JACKET_0127,夹克,1,10,transition,10.0,,1,0.0,False,0.0
33500,ACCESSORY_0128,配饰,22,13,all,13.0,,1,0.0,False,0.0
32310,UNDERWEAR_0129,内衣,29,24,all,24.0,,1,0.0,False,0.0
42024,JACKET_0130,夹克,4,12,transition,12.0,,1,0.0,False,0.0
33291,UNDERWEAR_0131,内衣,8,16,all,16.0,,1,0.0,False,0.0
33684,DOWN_0132,羽绒服,22,0,winter,0.0,,1,0.0,False,0.0
35128,KNIT_0133,针织衫,15,10,transition,10.0,,1,0.0,False,0.0
51186,KNIT_0134,针织衫,11,11,transition,11.0,,1,0.0,False,0.0
41007,DOWN_0135,羽绒服,34,1,winter,1.0,,1,0.0,False,0.0
44103,SHORTS_0136,短裤,44,15,summer,15.0,,1,0.0,False,0.0
35106,SHORTS_0137,短裤,15,18,summer,18.0,,1,0.0,False,0.0
13032,ACCESSORY_0138,配饰,2,16,all,16.0,,1,0.0,False,0.0
36041,ACCESSORY_0139,配饰,4,17,all,17.0,,1,0.0,False,0.0
44109,SHORT_SLV_0140,短袖,1,24,summer,24.0,,1,0.0,False,0.0
51022,UNDERWEAR_0141,内衣,16,11,all,11.0,,1,0.0,False,0.0
35121,DOWN_0142,羽绒服,1,2,winter,2.0,,1,0.0,False,0.0
13153,ACCESSORY_0143,配饰,41,13,all,13.0,,1,0.0,False,0.0
33139,KNIT_0144,针织衫,8,9,transition,9.0,,1,0.0,False,0.0
44108,JACKET_0145,夹克,24,8,transition,8.0,,1,0.0,False,0.0
51228,UNDERWEAR_0146,内衣,37,11,all,11.0,,1,0.0,False,0.0
41036,TSHIRT_0147,T恤,6,17,summer,17.0,,1,0.0,False,0.0
32432,UNDERWEAR_0148,内衣,3,14,all,14.0,,1,0.0,False,0.0
33090,KNIT_0149,针织衫,8,8,transition,8.0,,1,0.0,False,0.0
34108,ACCESSORY_0150,配饰,43,17,all,17.0,,1,0.0,False,0.0
32554,KNIT_0151,针织衫,3,5,transition,5.0,,1,0.0,False,0.0
11135,JACKET_0152,夹克,2,3,transition,3.0,,1,0.0,False,0.0
33638,WOOL_0153,毛呢大衣,5,2,winter,2.0,,1,0.0,False,0.0
32300,PADDED_0154,棉服,5,0,winter,0.0,,1,0.0,False,0.0
11041,SHORT_SLV_0155,短袖,2,10,summer,10.0,,1,0.0,False,0.0
33387,PADDED_0156,棉服,8,0,winter,0.0,,1,0.0,False,0.0
32271,DOWN_0157,羽绒服,3,0,winter,0.0,,1,0.0,False,0.0
31125,DOWN_0158,羽绒服,13,0,winter,0.0,,1,0.0,False,0.0
33152,DOWN_0159,羽绒服,39,0,winter,0.0,,1,0.0,False,0.0
52103,WOOL_0160,毛呢大衣,16,2,winter,2.0,,1,0.0,False,0.0
44075,TSHIRT_0161,T恤,44,21,summer,21.0,,1,0.0,False,0.0
41211,SHORTS_0162,短裤,10,17,summer,17.0,,1,0.0,False,0.0
45028,DOWN_0163,羽绒服,1,0,winter,0.0,,1,0.0,False,0.0
33139,JACKET_0164,夹克,8,9,transition,9.0,,1,0.0,False,0.0
44432,PADDED_0165,棉服,44,1,winter,1.0,,1,0.0,False,0.0
52075,SHORT_SLV_0166,短袖,37,21,summer,21.0,,1,0.0,False,0.0
32382,TSHIRT_0167,T恤,9,21,summer,21.0,,1,0.0,False,0.0
33328,PADDED_0168,棉服,22,2,winter,2.0,,1,0.0,False,0.0
33311,UNDERWEAR_0169,内衣,0,20,all,20.0,,1,0.0,False,0.0
32709,SHORTS_0170,短裤,5,23,summer,23.0,,1,0.0,False,0.0
32624,WOOL_0171,毛呢大衣,22,1,winter,1.0,,1,0.0,False,0.0
37076,PADDED_0172,棉服,10,0,winter,0.0,,1,0.0,False,0.0
32394,PADDED_0173,棉服,9,1,winter,1.0,,1,0.0,False,0.0
31184,TSHIRT_0174,T恤,22,31,summer,31.0,,1,0.0,False,0.0
32556,SHORTS_0175,短裤,9,19,summer,19.0,,1,0.0,False,0.0
52031,KNIT_0176,针织衫,37,9,transition,9.0,,1,0.0,False,0.0
37139,DOWN_0177,羽绒服,10,1,winter,1.0,,1,0.0,False,0.0
44514,SHORT_SLV_0178,短袖,15,22,summer,22.0,,1,0.0,False,0.0
41234,WOOL_0179,毛呢大衣,10,0,winter,0.0,,1,0.0,False,0.0
52075,TSHIRT_0180,T恤,37,18,summer,18.0,,1,0.0,False,0.0
44207,UNDERWEAR_0181,内衣,1,17,all,17.0,,1,0.0,False,0.0
45003,WOOL_0182,毛呢大衣,44,2,winter,2.0,,1,0.0,False,0.0
34105,PADDED_0183,棉服,21,1,winter,1.0,,1,0.0,False,0.0
33131,TSHIRT_0184,T恤,8,14,summer,14.0,,1,0.0,False,0.0
45162,ACCESSORY_0185,配饰,1,16,all,16.0,,1,0.0,False,0.0
44450,UNDERWEAR_0186,内衣,1,14,all,14.0,,1,0.0,False,0.0
34199,DOWN_0187,羽绒服,9,0,winter,0.0,,1,0.0,False,0.0
36133,SHORT_SLV_0188,短袖,4,17,summer,17.0,,1,0.0,False,0.0
32022,SHORT_SLV_0189,短袖,9,25,summer,25.0,,1,0.0,False,0.0
33253,ACCESSORY_0190,配饰,13,19,all,19.0,,1,0.0,False,0.0
32259,ACCESSORY_0191,配饰,35,26,all,26.0,,1,0.0,False,0.0
32536,SHORT_SLV_0192,短袖,9,24,summer,24.0,,1,0.0,False,0.0
33627,PADDED_0193,棉服,8,0,winter,0.0,,1,0.0,False,0.0
45041,UNDERWEAR_0194,内衣,24,11,all,11.0,,1,0.0,False,0.0
34165,UNDERWEAR_0195,内衣,12,17,all,17.0,,1,0.0,False,0.0
36165,SHORTS_0196,短裤,32,20,summer,20.0,,1,0.0,False,0.0
32551,DOWN_0197,羽绒服,43,2,winter,2.0,,1,0.0,False,0.0
51177,JACKET_0198,夹克,11,11,transition,11.0,,1,0.0,False,0.0
34404,JACKET_0199,夹克,9,4,transition,4.0,,1,0.0,False,0.0
13105,TSHIRT_0200,T恤,20,36,summer,36.0,,1,0.0,False,0.0
42114,JACKET_0201,夹克,32,9,transition,9.0,,1,0.0,False,0.0
37023,PADDED_0202,棉服,6,2,winter,2.0,,1,0.0,False,0.0
37036,KNIT_0203,针织衫,10,5,transition,5.0,,1,0.0,False,0.0
44235,TSHIRT_0204,T恤,44,20,summer,20.0,,1,0.0,False,0.0
43142,SHORT_SLV_0205,短袖,10,18,summer,18.0,,1,0.0,False,0.0
34354,SHORTS_0206,短裤,21,21,summer,21.0,,1,0.0,False,0.0
12066,JACKET_0207,夹克,41,10,transition,10.0,,1,0.0,False,0.0
44498,TSHIRT_0208,T恤,1,24,summer,24.0,,1,0.0,False,0.0
51075,WOOL_0209,毛呢大衣,16,0,winter,0.0,,1,0.0,False,0.0
21086,SHORT_SLV_0210,短袖,14,30,summer,30.0,,1,0.0,False,0.0
44075,TSHIRT_0211,T恤,44,24,summer,24.0,,1,0.0,False,0.0
41148,TSHIRT_0212,T恤,34,18,summer,18.0,,1,0.0,False,0.0
32546,DOWN_0213,羽绒服,22,1,winter,1.0,,1,0.0,False,0.0
32584,DOWN_0214,羽绒服,21,2,winter,2.0,,1,0.0,False,0.0
45060,JACKET_0215,夹克,23,9,transition,9.0,,1,0.0,False,0.0
51085,WOOL_0216,毛呢大衣,7,0,winter,0.0,,1,0.0,False,0.0
31216,SHORTS_0217,短裤,13,17,summer,17.0,,1,0.0,False,0.0
44086,PADDED_0218,棉服,15,0,winter,0.0,,1,0.0,False,0.0
37115,KNIT_0219,针织衫,10,8,transition,8.0,,1,0.0,False,0.0
51013,SHORT_SLV_0220,短袖,37,30,summer,30.0,,1,0.0,False,0.0
34283,DOWN_0221,羽绒服,3,2,winter,2.0,,1,0.0,False,0.0
31157,PADDED_0222,棉服,28,0,winter,0.0,,1,0.0,False,0.0
43014,DOWN_0223,羽绒服,4,1,winter,1.0,,1,0.0,False,0.0
44472,SHORT_SLV_0224,短袖,44,25,summer,25.0,,1,0.0,False,0.0
44468,WOOL_0225,毛呢大衣,44,2,winter,2.0,,1,0.0,False,0.0
51140,WOOL_0226,毛呢大衣,37,1,winter,1.0,,1,0.0,False,0.0
32674,ACCESSORY_0227,配饰,3,29,all,29.0,,1,0.0,False,0.0
52055,PADDED_0228,棉服,18,0,winter,0.0,,1,0.0,False,0.0
45005,SHORTS_0229,短裤,44,27,summer,27.0,,1,0.0,False,0.0
32620,DOWN_0230,羽绒服,9,0,winter,0.0,,1,0.0,False,0.0
51024,KNIT_0231,针织衫,16,9,transition,9.0,,1,0.0,False,0.0
52101,WOOL_0232,毛呢大衣,16,0,winter,0.0,,1,0.0,False,0.0
35097,SHORT_SLV_0233,短袖,1,31,summer,31.0,,1,0.0,False,0.0
41231,JACKET_0234,夹克,10,9,transition,9.0,,1,0.0,False,0.0
51102,SHORTS_0235,短裤,37,27,summer,27.0,,1,0.0,False,0.0
33636,JACKET_0236,夹克,22,10,transition,10.0,,1,0.0,False,0.0
36122,JACKET_0237,夹克,32,9,transition,9.0,,1,0.0,False,0.0
44474,ACCESSORY_0238,配饰,1,26,all,26.0,,1,0.0,False,0.0
34326,TSHIRT_0239,T恤,21,24,summer,24.0,,1,0.0,False,0.0
45091,JACKET_0240,夹克,1,13,transition,13.0,,1,0.0,False,0.0
51163,SHORT_SLV_0241,短袖,16,15,summer,15.0,,1,0.0,False,0.0
51228,JACKET_0242,夹克,37,10,transition,10.0,,1,0.0,False,0.0
13037,WOOL_0243,毛呢大衣,20,0,winter,0.0,,1,0.0,False,0.0
45140,JACKET_0244,夹克,1,9,transition,9.0,,1,0.0,False,0.0
44109,ACCESSORY_0245,配饰,1,26,all,26.0,,1,0.0,False,0.0
33217,SHORTS_0246,短裤,8,23,summer,23.0,,1,0.0,False,0.0
53081,SHORT_SLV_0247,短袖,37,21,summer,21.0,,1,0.0,False,0.0
33727,DOWN_0248,羽绒服,8,1,winter,1.0,,1,0.0,False,0.0
44483,ACCESSORY_0249,配饰,1,21,all,21.0,,1,0.0,False,0.0
32679,ACCESSORY_0250,配饰,3,14,all,14.0,,1,0.0,False,0.0
35106,SHORTS_0251,短裤,15,17,summer,17.0,,1,0.0,False,0.0
44471,TSHIRT_0252,T恤,1,44,summer,44.0,,1,0.0,False,0.0
37081,UNDERWEAR_0253,内衣,10,17,all,17.0,,1,0.0,False,0.0
31027,JACKET_0254,夹克,3,9,transition,9.0,,1,0.0,False,0.0
32620,JACKET_0255,夹克,9,11,transition,11.0,,1,0.0,False,0.0
32551,ACCESSORY_0256,配饰,43,16,all,16.0,,1,0.0,False,0.0
32446,PADDED_0257,棉服,3,0,winter,0.0,,1,0.0,False,0.0
33657,WOOL_0258,毛呢大衣,22,1,winter,1.0,,1,0.0,False,0.0
33209,KNIT_0259,针织衫,8,5,transition,5.0,,1,0.0,False,0.0
44522,DOWN_0260,羽绒服,23,0,winter,0.0,,1,0.0,False,0.0
53107,PADDED_0261,棉服,37,2,winter,2.0,,1,0.0,False,0.0
33705,DOWN_0262,羽绒服,22,2,winter,2.0,,1,0.0,False,0.0
37211,DOWN_0263,羽绒服,10,0,winter,0.0,,1,0.0,False,0.0
44303,SHORTS_0264,短裤,1,28,summer,28.0,,1,0.0,False,0.0
51194,DOWN_0265,羽绒服,16,2,winter,2.0,,1,0.0,False,0.0
42036,SHORT_SLV_0266,短袖,10,11,summer,11.0,,1,0.0,False,0.0
41034,PADDED_0267,棉服,34,0,winter,0.0,,1,0.0,False,0.0
33730,DOWN_0268,羽绒服,8,1,winter,1.0,,1,0.0,False,0.0
45065,SHORT_SLV_0269,短袖,44,8,summer,8.0,,1,0.0,False,0.0
12017,SHORTS_0270,短裤,41,15,summer,15.0,,1,0.0,False,0.0
45028,PADDED_0271,棉服,1,1,winter,1.0,,1,0.0,False,0.0
52045,SHORTS_0272,短裤,37,22,summer,22.0,,1,0.0,False,0.0
33462,UNDERWEAR_0273,内衣,8,11,all,11.0,,1,0.0,False,0.0
44475,SHORT_SLV_0274,短袖,1,22,summer,22.0,,1,0.0,False,0.0
32177,TSHIRT_0275,T恤,9,14,summer,14.0,,1,0.0,False,0.0
36148,PADDED_0276,棉服,4,1,winter,1.0,,1,0.0,False,0.0
42084,KNIT_0277,针织衫,32,11,transition,11.0,,1,0.0,False,0.0
21061,KNIT_0278,针织衫,14,4,transition,4.0,,1,0.0,False,0.0
51033,SHORTS_0279,短裤,37,14,summer,14.0,,1,0.0,False,0.0
32181,SHORTS_0280,短裤,9,24,summer,24.0,,1,0.0,False,0.0
33619,JACKET_0281,夹克,8,9,transition,9.0,,1,0.0,False,0.0
37029,PADDED_0282,棉服,6,0,winter,0.0,,1,0.0,False,0.0
33202,SHORTS_0283,短裤,5,15,summer,15.0,,1,0.0,False,0.0
32310,JACKET_0284,夹克,29,4,transition,4.0,,1,0.0,False,0.0
44301,UNDERWEAR_0285,内衣,44,22,all,22.0,,1,0.0,False,0.0
34195,WOOL_0286,毛呢大衣,29,0,winter,0.0,,1,0.0,False,0.0
32527,SHORT_SLV_0287,短袖,9,21,summer,21.0,,1,0.0,False,0.0
31158,UNDERWEAR_0288,内衣,9,12,all,12.0,,1,0.0,False,0.0
51135,ACCESSORY_0289,配饰,37,15,all,15.0,,1,0.0,False,0.0
32388,PADDED_0290,棉服,22,0,winter,0.0,,1,0.0,False,0.0
44153,UNDERWEAR_0291,内衣,1,17,all,17.0,,1,0.0,False,0.0
41047,SHORTS_0292,短裤,6,14,summer,14.0,,1,0.0,False,0.0
33262,SHORT_SLV_0293,短袖,22,15,summer,15.0,,1,0.0,False,0.0
32687,UNDERWEAR_0294,内衣,3,27,all,27.0,,1,0.0,False,0.0
33186,ACCESSORY_0295,配饰,22,16,all,16.0,,1,0.0,False,0.0
43074,PADDED_0296,棉服,4,0,winter,0.0,,1,0.0,False,0.0
33160,JACKET_0297,夹克,22,6,transition,6.0,,1,0.0,False,0.0
41034,ACCESSORY_0298,配饰,34,22,all,22.0,,1,0.0,False,0.0
21073,SHORTS_0299,短裤,2,19,summer,19.0,,1,0.0,False,0.0
36057,TSHIRT_0300,T恤,4,40,summer,40.0,,1,0.0,False,0.0
33301,TSHIRT_0301,T恤,28,22,summer,22.0,,1,0.0,False,0.0
51261,SHORT_SLV_0302,短袖,16,26,summer,26.0,,1,0.0,False,0.0
32259,PADDED_0303,棉服,35,0,winter,0.0,,1,0.0,False,0.0
15007,PADDED_0304,棉服,42,0,winter,0.0,,1,0.0,False,0.0
43167,ACCESSORY_0305,配饰,4,27,all,27.0,,1,0.0,False,0.0
11094,SHORTS_0306,短裤,2,25,summer,25.0,,1,0.0,False,0.0
34122,ACCESSORY_0307,配饰,29,14,all,14.0,,1,0.0,False,0.0
42081,SHORT_SLV_0308,短袖,4,26,summer,26.0,,1,0.0,False,0.0
44287,KNIT_0309,针织衫,15,13,transition,13.0,,1,0.0,False,0.0
33209,SHORT_SLV_0310,短袖,8,21,summer,21.0,,1,0.0,False,0.0
32480,ACCESSORY_0311,配饰,9,9,all,9.0,,1,0.0,False,0.0
11151,ACCESSORY_0312,配饰,2,11,all,11.0,,1,0.0,False,0.0
32301,KNIT_0313,针织衫,3,17,transition,17.0,,1,0.0,False,0.0
14006,WOOL_0314,毛呢大衣,14,1,winter,1.0,,1,0.0,False,0.0
33649,WOOL_0315,毛呢大衣,22,0,winter,0.0,,1,0.0,False,0.0
41221,ACCESSORY_0316,配饰,10,25,all,25.0,,1,0.0,False,0.0
61086,PADDED_0317,棉服,42,0,winter,0.0,,1,0.0,False,0.0
35080,SHORT_SLV_0318,短袖,9,8,summer,8.0,,1,0.0,False,0.0
11133,SHORT_SLV_0319,短袖,2,13,summer,13.0,,1,0.0,False,0.0
37189,TSHIRT_0320,T恤,34,32,summer,32.0,,1,0.0,False,0.0
11058,ACCESSORY_0321,配饰,14,9,all,9.0,,1,0.0,False,0.0
34314,PADDED_0322,棉服,21,0,winter,0.0,,1,0.0,False,0.0
45056,SHORTS_0323,短裤,44,20,summer,20.0,,1,0.0,False,0.0
33426,JACKET_0324,夹克,22,7,transition,7.0,,1,0.0,False,0.0
31239,SHORT_SLV_0325,短袖,13,18,summer,18.0,,1,0.0,False,0.0
44326,UNDERWEAR_0326,内衣,1,12,all,12.0,,1,0.0,False,0.0
32213,KNIT_0327,针织衫,29,14,transition,14.0,,1,0.0,False,0.0
51134,SHORT_SLV_0328,短袖,16,15,summer,15.0,,1,0.0,False,0.0
50033,KNIT_0329,针织衫,37,6,transition,6.0,,1,0.0,False,0.0
32373,DOWN_0330,羽绒服,9,1,winter,1.0,,1,0.0,False,0.0
61082,ACCESSORY_0331,配饰,20,13,all,13.0,,1,0.0,False,0.0
44440,KNIT_0332,针织衫,1,9,transition,9.0,,1,0.0,False,0.0
41217,SHORT_SLV_0333,短袖,10,16,summer,16.0,,1,0.0,False,0.0
11042,PADDED_0334,棉服,2,2,winter,2.0,,1,0.0,False,0.0
41013,ACCESSORY_0335,配饰,34,26,all,26.0,,1,0.0,False,0.0
31134,UNDERWEAR_0336,内衣,13,12,all,12.0,,1,0.0,False,0.0
45052,TSHIRT_0337,T恤,44,20,summer,20.0,,1,0.0,False,0.0
