str_code,spu_code,eligibility_status,recommendation
S01034,SPU_内衣_0034,ELIGIBLE,NONE
S01035,SPU_配饰_0035,ELIGIBLE,NONE
S01036,SPU_直筒裤_0036,ELIGIBLE,NONE
S01037,SPU_束脚裤_0037,ELIGIBLE,NONE
S01038,SPU_锥形裤_0038,ELIGIBLE,ADD
S01039,SPU_羽绒服_0039,INELIGIBLE,NONE
S01040,SPU_棉服_0040,INELIGIBLE,NONE
S01041,SPU_毛呢大_0041,INELIGIBLE,NONE
S01042,SPU_夹克_0042,INELIGIBLE,NONE
S01043,SPU_针织衫_0043,INELIGIBLE,NONE
S01044,SPU_T恤_0044,ELIGIBLE,NONE
S01045,SPU_短裤_0045,ELIGIBLE,NONE
S01046,SPU_短袖_0046,ELIGIBLE,NONE
S01047,SPU_内衣_0047,ELIGIBLE,NONE
S01048,SPU_配饰_0048,ELIGIBLE,NONE
S01049,SPU_直筒裤_0049,ELIGIBLE,NONE
S01050,SPU_束脚裤_0050,ELIGIBLE,NONE
S01051,SPU_锥形裤_0051,ELIGIBLE,NONE
S01052,SPU_羽绒服_0052,INELIGIBLE,NONE
S01053,SPU_棉服_0053,INELIGIBLE,NONE
S01054,SPU_毛呢大_0054,INELIGIBLE,NONE
S01055,SPU_夹克_0055,INELIGIBLE,NONE
S01056,SPU_针织衫_0056,INELIGIBLE,NONE
S01057,SPU_T恤_0057,ELIGIBLE,NONE
S01058,SPU_短裤_0058,ELIGIBLE,NONE
S01059,SPU_短袖_0059,ELIGIBLE,NONE
S01060,SPU_内衣_0060,ELIGIBLE,NONE
S01061,SPU_配饰_0061,ELIGIBLE,NONE
S01062,SPU_直筒裤_0062,ELIGIBLE,NONE
S01063,SPU_束脚裤_0063,ELIGIBLE,NONE
S01064,SPU_锥形裤_0064,ELIGIBLE,NONE
S01065,SPU_羽绒服_0065,INELIGIBLE,NONE
S01066,SPU_棉服_0066,INELIGIBLE,NONE
S01067,SPU_毛呢大_0067,INELIGIBLE,NONE
S01068,SPU_夹克_0068,INELIGIBLE,NONE
S01069,SPU_针织衫_0069,INELIGIBLE,NONE
S01070,SPU_T恤_0070,ELIGIBLE,NONE
S01071,SPU_短裤_0071,ELIGIBLE,NONE
S01072,SPU_短袖_0072,ELIGIBLE,NONE
S01073,SPU_内衣_0073,ELIGIBLE,NONE
S01074,SPU_配饰_0074,ELIGIBLE,NONE
S01075,SPU_直筒裤_0075,ELIGIBLE,ADD
S01076,SPU_束脚裤_0076,ELIGIBLE,NONE
S01077,SPU_锥形裤_0077,ELIGIBLE,NONE
S01078,SPU_羽绒服_0078,INELIGIBLE,NONE
S01079,SPU_棉服_0079,INELIGIBLE,NONE
S01080,SPU_毛呢大_0080,INELIGIBLE,NONE
S01081,SPU_夹克_0081,INELIGIBLE,NONE
S01082,SPU_针织衫_0082,INELIGIBLE,NONE
S01083,SPU_T恤_0083,ELIGIBLE,ADD
S01084,SPU_短裤_0084,ELIGIBLE,NONE
S01085,SPU_短袖_0085,ELIGIBLE,NONE
S01086,SPU_内衣_0086,ELIGIBLE,ADD
S01087,SPU_配饰_0087,ELIGIBLE,NONE
S01088,SPU_直筒裤_0088,ELIGIBLE,ADD
S01089,SPU_束脚裤_0089,ELIGIBLE,NONE
S01090,SPU_锥形裤_0090,ELIGIBLE,NONE
S01091,SPU_羽绒服_0091,INELIGIBLE,NONE
S01092,SPU_棉服_0092,INELIGIBLE,NONE
S01093,SPU_毛呢大_0093,INELIGIBLE,NONE
S01094,SPU_夹克_0094,INELIGIBLE,NONE
S01095,SPU_针织衫_0095,INELIGIBLE,NONE
S01096,SPU_T恤_0096,ELIGIBLE,NONE
S01097,SPU_短裤_0097,ELIGIBLE,NONE
S01098,SPU_短袖_0098,ELIGIBLE,NONE
S01099,SPU_内衣_0099,ELIGIBLE,NONE
S01000,SPU_配饰_0100,ELIGIBLE,ADD
S01001,SPU_直筒裤_0101,ELIGIBLE,NONE
S01002,SPU_束脚裤_0102,ELIGIBLE,ADD
S01003,SPU_锥形裤_0103,ELIGIBLE,NONE
S01004,SPU_羽绒服_0104,INELIGIBLE,NONE
S01005,SPU_棉服_0105,INELIGIBLE,NONE
S01006,SPU_毛呢大_0106,INELIGIBLE,NONE
S01007,SPU_夹克_0107,INELIGIBLE,NONE
S01008,SPU_针织衫_0108,INELIGIBLE,NONE
S01009,SPU_T恤_0109,ELIGIBLE,NONE
S01010,SPU_短裤_0110,ELIGIBLE,NONE
S01011,SPU_短袖_0111,ELIGIBLE,NONE
S01012,SPU_内衣_0112,ELIGIBLE,NONE
S01013,SPU_配饰_0113,ELIGIBLE,NONE
S01014,SPU_直筒裤_0114,ELIGIBLE,NONE
S01015,SPU_束脚裤_0115,ELIGIBLE,NONE
S01016,SPU_锥形裤_0116,ELIGIBLE,NONE
S01017,SPU_羽绒服_0117,INELIGIBLE,NONE
S01018,SPU_棉服_0118,INELIGIBLE,NONE
S01019,SPU_毛呢大_0119,INELIGIBLE,NONE
S01020,SPU_夹克_0120,INELIGIBLE,NONE
S01021,SPU_针织衫_0121,INELIGIBLE,NONE
S01022,SPU_T恤_0122,ELIGIBLE,NONE
S01023,SPU_短裤_0123,ELIGIBLE,ADD
S01024,SPU_短袖_0124,ELIGIBLE,ADD
S01025,SPU_内衣_0125,ELIGIBLE,NONE
S01026,SPU_配饰_0126,ELIGIBLE,NONE
S01027,SPU_直筒裤_0127,ELIGIBLE,NONE
S01028,SPU_束脚裤_0128,ELIGIBLE,NONE
S01029,SPU_锥形裤_0129,ELIGIBLE,ADD
S01030,SPU_羽绒服_0130,INELIGIBLE,NONE
S01031,SPU_棉服_0131,INELIGIBLE,NONE
S01032,SPU_毛呢大_0132,INELIGIBLE,NONE
S01033,SPU_夹克_0133,INELIGIBLE,NONE
S01034,SPU_针织衫_0134,INELIGIBLE,NONE
S01035,SPU_T恤_0135,ELIGIBLE,NONE
S01036,SPU_短裤_0136,ELIGIBLE,NONE
S01037,SPU_短袖_0137,ELIGIBLE,NONE
S01038,SPU_内衣_0138,ELIGIBLE,NONE
S01039,SPU_配饰_0139,ELIGIBLE,NONE
S01040,SPU_直筒裤_0140,ELIGIBLE,NONE
S01041,SPU_束脚裤_0141,ELIGIBLE,ADD
S01042,SPU_锥形裤_0142,ELIGIBLE,NONE
S01043,SPU_羽绒服_0143,INELIGIBLE,NONE
S01044,SPU_棉服_0144,INELIGIBLE,NONE
S01045,SPU_毛呢大_0145,INELIGIBLE,NONE
S01046,SPU_夹克_0146,INELIGIBLE,NONE
S01047,SPU_针织衫_0147,INELIGIBLE,NONE
S01048,SPU_T恤_0148,ELIGIBLE,NONE
S01049,SPU_短裤_0149,ELIGIBLE,ADD
S01050,SPU_短袖_0150,ELIGIBLE,NONE
S01051,SPU_内衣_0151,ELIGIBLE,NONE
S01052,SPU_配饰_0152,ELIGIBLE,NONE
S01053,SPU_直筒裤_0153,ELIGIBLE,ADD
S01054,SPU_束脚裤_0154,ELIGIBLE,ADD
S01055,SPU_锥形裤_0155,ELIGIBLE,NONE
S01056,SPU_羽绒服_0156,INELIGIBLE,NONE
S01057,SPU_棉服_0157,INELIGIBLE,NONE
S01058,SPU_毛呢大_0158,INELIGIBLE,NONE
S01059,SPU_夹克_0159,INELIGIBLE,NONE
S01060,SPU_针织衫_0160,INELIGIBLE,NONE
S01061,SPU_T恤_0161,ELIGIBLE,NONE
S01062,SPU_短裤_0162,ELIGIBLE,NONE
S01063,SPU_短袖_0163,ELIGIBLE,NONE
S01064,SPU_内衣_0164,ELIGIBLE,ADD
S01065,SPU_配饰_0165,ELIGIBLE,NONE
S01066,SPU_直筒裤_0166,ELIGIBLE,NONE
S01067,SPU_束脚裤_0167,ELIGIBLE,NONE
S01068,SPU_锥形裤_0168,ELIGIBLE,NONE
S01069,SPU_羽绒服_0169,INELIGIBLE,NONE
S01070,SPU_棉服_0170,INELIGIBLE,NONE
S01071,SPU_毛呢大_0171,INELIGIBLE,NONE
S01072,SPU_夹克_0172,INELIGIBLE,NONE
S01073,SPU_针织衫_0173,INELIGIBLE,NONE
S01074,SPU_T恤_0174,ELIGIBLE,NONE
S01075,SPU_短裤_0175,ELIGIBLE,ADD
S01076,SPU_短袖_0176,ELIGIBLE,NONE
S01077,SPU_内衣_0177,ELIGIBLE,NONE
S01078,SPU_配饰_0178,ELIGIBLE,NONE
S01079,SPU_直筒裤_0179,ELIGIBLE,NONE
S01080,SPU_束脚裤_0180,ELIGIBLE,NONE
S01081,SPU_锥形裤_0181,ELIGIBLE,NONE
S01082,SPU_羽绒服_0182,INELIGIBLE,NONE
S01083,SPU_棉服_0183,INELIGIBLE,NONE
S01084,SPU_毛呢大_0184,INELIGIBLE,NONE
S01085,SPU_夹克_0185,INELIGIBLE,NONE
S01086,SPU_针织衫_0186,INELIGIBLE,NONE
S01087,SPU_T恤_0187,ELIGIBLE,NONE
S01088,SPU_短裤_0188,ELIGIBLE,NONE
S01089,SPU_短袖_0189,ELIGIBLE,NONE
S01090,SPU_内衣_0190,ELIGIBLE,NONE
S01091,SPU_配饰_0191,ELIGIBLE,NONE
S01092,SPU_直筒裤_0192,ELIGIBLE,NONE
S01093,SPU_束脚裤_0193,ELIGIBLE,NONE
S01094,SPU_锥形裤_0194,ELIGIBLE,NONE
S01095,SPU_羽绒服_0195,INELIGIBLE,NONE
S01096,SPU_棉服_0196,INELIGIBLE,NONE
S01097,SPU_毛呢大_0197,INELIGIBLE,NONE
S01098,SPU_夹克_0198,INELIGIBLE,NONE
S01099,SPU_针织衫_0199,INELIGIBLE,NONE
S01000,SPU_T恤_0200,ELIGIBLE,NONE
S01001,SPU_短裤_0201,ELIGIBLE,NONE
S01002,SPU_短袖_0202,ELIGIBLE,NONE
S01003,SPU_内衣_0203,ELIGIBLE,NONE
S01004,SPU_配饰_0204,ELIGIBLE,NONE
S01005,SPU_直筒裤_0205,ELIGIBLE,NONE
S01006,SPU_束脚裤_0206,ELIGIBLE,ADD
S01007,SPU_锥形裤_0207,ELIGIBLE,NONE
S01008,SPU_羽绒服_0208,INELIGIBLE,NONE
S01009,SPU_棉服_0209,INELIGIBLE,NONE
S01010,SPU_毛呢大_0210,INELIGIBLE,NONE
S01011,SPU_夹克_0211,INELIGIBLE,NONE
S01012,SPU_针织衫_0212,INELIGIBLE,NONE
S01013,SPU_T恤_0213,ELIGIBLE,ADD
S01014,SPU_短裤_0214,ELIGIBLE,NONE
S01015,SPU_短袖_0215,ELIGIBLE,NONE
S01016,SPU_内衣_0216,ELIGIBLE,NONE
S01017,SPU_配饰_0217,ELIGIBLE,NONE
S01018,SPU_直筒裤_0218,ELIGIBLE,ADD
S01019,SPU_束脚裤_0219,ELIGIBLE,NONE
S01020,SPU_锥形裤_0220,ELIGIBLE,NONE
S01021,SPU_羽绒服_0221,INELIGIBLE,NONE
S01022,SPU_棉服_0222,INELIGIBLE,NONE
S01023,SPU_毛呢大_0223,INELIGIBLE,NONE
S01024,SPU_夹克_0224,INELIGIBLE,NONE
S01025,SPU_针织衫_0225,INELIGIBLE,NONE
S01026,SPU_T恤_0226,ELIGIBLE,ADD
S01027,SPU_短裤_0227,ELIGIBLE,NONE
S01028,SPU_短袖_0228,ELIGIBLE,NONE
S01029,SPU_内衣_0229,ELIGIBLE,NONE
S01030,SPU_配饰_0230,ELIGIBLE,NONE
S01031,SPU_直筒裤_0231,ELIGIBLE,NONE
S01032,SPU_束脚裤_0232,ELIGIBLE,NONE
S01033,SPU_锥形裤_0233,ELIGIBLE,NONE
S01034,SPU_羽绒服_0234,INELIGIBLE,NONE
S01035,SPU_棉服_0235,INELIGIBLE,NONE
S01036,SPU_毛呢大_0236,INELIGIBLE,NONE
S01037,SPU_夹克_0237,INELIGIBLE,NONE
S01038,SPU_针织衫_0238,INELIGIBLE,NONE
S01039,SPU_T恤_0239,ELIGIBLE,NONE
S01040,SPU_短裤_0240,ELIGIBLE,ADD
S01041,SPU_短袖_0241,ELIGIBLE,ADD
S01042,SPU_内衣_0242,ELIGIBLE,NONE
S01043,SPU_配饰_0243,ELIGIBLE,NONE
S01044,SPU_直筒裤_0244,ELIGIBLE,NONE
S01045,SPU_束脚裤_0245,ELIGIBLE,ADD
S01046,SPU_锥形裤_0246,ELIGIBLE,NONE
S01047,SPU_羽绒服_0247,INELIGIBLE,NONE
S01048,SPU_棉服_0248,INELIGIBLE,NONE
S01049,SPU_毛呢大_0249,INELIGIBLE,NONE
S01050,SPU_夹克_0250,INELIGIBLE,NONE
S01051,SPU_针织衫_0251,INELIGIBLE,NONE
S01052,SPU_T恤_0252,ELIGIBLE,NONE
S01053,SPU_短裤_0253,ELIGIBLE,NONE
S01054,SPU_短袖_0254,ELIGIBLE,NONE
S01055,SPU_内衣_0255,ELIGIBLE,NONE
S01056,SPU_配饰_0256,ELIGIBLE,NONE
S01057,SPU_直筒裤_0257,ELIGIBLE,NONE
S01058,SPU_束脚裤_0258,ELIGIBLE,NONE
S01059,SPU_锥形裤_0259,ELIGIBLE,NONE
S01060,SPU_羽绒服_0260,INELIGIBLE,NONE
S01061,SPU_棉服_0261,INELIGIBLE,NONE
S01062,SPU_毛呢大_0262,INELIGIBLE,NONE
S01063,SPU_夹克_0263,INELIGIBLE,NONE
S01064,SPU_针织衫_0264,INELIGIBLE,NONE
S01065,SPU_T恤_0265,ELIGIBLE,NONE
S01066,SPU_短裤_0266,ELIGIBLE,NONE
S01067,SPU_短袖_0267,ELIGIBLE,NONE
S01068,SPU_内衣_0268,ELIGIBLE,NONE
S01069,SPU_配饰_0269,ELIGIBLE,NONE
S01070,SPU_直筒裤_0270,ELIGIBLE,NONE
S01071,SPU_束脚裤_0271,ELIGIBLE,NONE
S01072,SPU_锥形裤_0272,ELIGIBLE,ADD
S01073,SPU_羽绒服_0273,INELIGIBLE,NONE
S01074,SPU_棉服_0274,INELIGIBLE,NONE
S01075,SPU_毛呢大_0275,INELIGIBLE,NONE
S01076,SPU_夹克_0276,INELIGIBLE,NONE
S01077,SPU_针织衫_0277,INELIGIBLE,NONE
S01078,SPU_T恤_0278,ELIGIBLE,NONE
S01079,SPU_短裤_0279,ELIGIBLE,NONE
S01080,SPU_短袖_0280,ELIGIBLE,NONE
S01081,SPU_内衣_0281,ELIGIBLE,NONE
S01082,SPU_配饰_0282,ELIGIBLE,ADD
S01083,SPU_直筒裤_0283,ELIGIBLE,NONE
S01084,SPU_束脚裤_0284,ELIGIBLE,NONE
S01085,SPU_锥形裤_0285,ELIGIBLE,NONE
S01086,SPU_羽绒服_0286,INELIGIBLE,NONE
S01087,SPU_棉服_0287,INELIGIBLE,NONE
S01088,SPU_毛呢大_0288,INELIGIBLE,NONE
S01089,SPU_夹克_0289,INELIGIBLE,NONE
S01090,SPU_针织衫_0290,INELIGIBLE,NONE
S01091,SPU_T恤_0291,ELIGIBLE,NONE
S01092,SPU_短裤_0292,ELIGIBLE,NONE
S01093,SPU_短袖_0293,ELIGIBLE,NONE
S01094,SPU_内衣_0294,ELIGIBLE,NONE
S01095,SPU_配饰_0295,ELIGIBLE,NONE
S01096,SPU_直筒裤_0296,ELIGIBLE,ADD
S01097,SPU_束脚裤_0297,ELIGIBLE,NONE
S01098,SPU_锥形裤_0298,ELIGIBLE,NONE
S01099,SPU_羽绒服_0299,INELIGIBLE,NONE
S01000,SPU_棉服_0300,INELIGIBLE,NONE
S01001,SPU_毛呢大_0301,INELIGIBLE,NONE
S01002,SPU_夹克_0302,INELIGIBLE,NONE
S01003,SPU_针织衫_0303,INELIGIBLE,NONE
S01004,SPU_T恤_0304,ELIGIBLE,ADD
S01005,SPU_短裤_0305,ELIGIBLE,NONE
S01006,SPU_短袖_0306,ELIGIBLE,NONE
S01007,SPU_内衣_0307,ELIGIBLE,NONE
S01008,SPU_配饰_0308,ELIGIBLE,NONE
S01009,SPU_直筒裤_0309,ELIGIBLE,NONE
S01010,SPU_束脚裤_0310,ELIGIBLE,NONE
S01011,SPU_锥形裤_0311,ELIGIBLE,NONE
S01012,SPU_羽绒服_0312,INELIGIBLE,NONE
S01013,SPU_棉服_0313,INELIGIBLE,NONE
S01014,SPU_毛呢大_0314,INELIGIBLE,NONE
S01015,SPU_夹克_0315,INELIGIBLE,NONE
S01016,SPU_针织衫_0316,INELIGIBLE,NONE
S01017,SPU_T恤_0317,ELIGIBLE,NONE
S01018,SPU_短裤_0318,ELIGIBLE,ADD
S01019,SPU_短袖_0319,ELIGIBLE,ADD
S01020,SPU_内衣_0320,ELIGIBLE,NONE
S01021,SPU_配饰_0321,ELIGIBLE,NONE
S01022,SPU_直筒裤_0322,ELIGIBLE,NONE
S01023,SPU_束脚裤_0323,ELIGIBLE,NONE
S01024,SPU_锥形裤_0324,ELIGIBLE,ADD
S01025,SPU_羽绒服_0325,INELIGIBLE,NONE
S01026,SPU_棉服_0326,INELIGIBLE,NONE
S01027,SPU_毛呢大_0327,INELIGIBLE,NONE
S01028,SPU_夹克_0328,INELIGIBLE,NONE
S01029,SPU_针织衫_0329,INELIGIBLE,NONE
S01030,SPU_T恤_0330,ELIGIBLE,NONE
S01031,SPU_短裤_0331,ELIGIBLE,NONE
S01032,SPU_短袖_0332,ELIGIBLE,ADD
S01033,SPU_内衣_0333,ELIGIBLE,NONE
S01034,SPU_配饰_0334,ELIGIBLE,NONE
S01035,SPU_直筒裤_0335,ELIGIBLE,NONE
S01036,SPU_束脚裤_0336,ELIGIBLE,NONE
S01037,SPU_锥形裤_0337,ELIGIBLE,NONE
S01038,SPU_羽绒服_0338,INELIGIBLE,NONE
S01039,SPU_棉服_0339,INELIGIBLE,NONE
S01040,SPU_毛呢大_0340,INELIGIBLE,NONE
S01041,SPU_夹克_0341,INELIGIBLE,NONE
S01042,SPU_针织衫_0342,INELIGIBLE,NONE
S01043,SPU_T恤_0343,ELIGIBLE,NONE
S01044,SPU_短裤_0344,ELIGIBLE,NONE
S01045,SPU_短袖_0345,ELIGIBLE,ADD
S01046,SPU_内衣_0346,ELIGIBLE,NONE
S01047,SPU_配饰_0347,ELIGIBLE,ADD
S01048,SPU_直筒裤_0348,ELIGIBLE,NONE
S01049,SPU_束脚裤_0349,ELIGIBLE,NONE
S01050,SPU_锥形裤_0350,ELIGIBLE,NONE
S01051,SPU_羽绒服_0351,INELIGIBLE,NONE
S01052,SPU_棉服_0352,INELIGIBLE,NONE
S01053,SPU_毛呢大_0353,INELIGIBLE,NONE
S01054,SPU_夹克_0354,INELIGIBLE,NONE
S01055,SPU_针织衫_0355,INELIGIBLE,NONE
S01056,SPU_T恤_0356,ELIGIBLE,ADD
S01057,SPU_短裤_0357,ELIGIBLE,NONE
S01058,SPU_短袖_0358,ELIGIBLE,NONE
S01059,SPU_内衣_0359,ELIGIBLE,NONE
S01060,SPU_配饰_0360,ELIGIBLE,NONE
S01061,SPU_直筒裤_0361,ELIGIBLE,ADD
S01062,SPU_束脚裤_0362,ELIGIBLE,NONE
S01063,SPU_锥形裤_0363,ELIGIBLE,NONE
S01064,SPU_羽绒服_0364,INELIGIBLE,NONE
S01065,SPU_棉服_0365,INELIGIBLE,NONE
S01066,SPU_毛呢大_0366,INELIGIBLE,NONE
S01067,SPU_夹克_0367,INELIGIBLE,NONE
S01068,SPU_针织衫_0368,INELIGIBLE,NONE
S01069,SPU_T恤_0369,ELIGIBLE,NONE
S01070,SPU_短裤_0370,ELIGIBLE,NONE
S01071,SPU_短袖_0371,ELIGIBLE,NONE
S01072,SPU_内衣_0372,ELIGIBLE,NONE
S01073,SPU_配饰_0373,ELIGIBLE,ADD
S01074,SPU_直筒裤_0374,ELIGIBLE,NONE
S01075,SPU_束脚裤_0375,ELIGIBLE,NONE
S01076,SPU_锥形裤_0376,ELIGIBLE,NONE
S01077,SPU_羽绒服_0377,INELIGIBLE,NONE
S01078,SPU_棉服_0378,INELIGIBLE,NONE
S01079,SPU_毛呢大_0379,INELIGIBLE,NONE
S01080,SPU_夹克_0380,INELIGIBLE,NONE
S01081,SPU_针织衫_0381,INELIGIBLE,NONE
S01082,SPU_T恤_0382,ELIGIBLE,ADD
S01083,SPU_短裤_0383,ELIGIBLE,NONE
S01084,SPU_短袖_0384,ELIGIBLE,NONE
S01085,SPU_内衣_0385,ELIGIBLE,NONE
S01086,SPU_配饰_0386,ELIGIBLE,NONE
S01087,SPU_直筒裤_0387,ELIGIBLE,NONE
S01088,SPU_束脚裤_0388,ELIGIBLE,NONE
S01089,SPU_锥形裤_0389,ELIGIBLE,NONE
S01090,SPU_羽绒服_0390,INELIGIBLE,NONE
S01091,SPU_棉服_0391,INELIGIBLE,NONE
S01092,SPU_毛呢大_0392,INELIGIBLE,NONE
S01093,SPU_夹克_0393,INELIGIBLE,NONE
S01094,SPU_针织衫_0394,INELIGIBLE,NONE
S01095,SPU_T恤_0395,ELIGIBLE,NONE
S01096,SPU_短裤_0396,ELIGIBLE,NONE
S01097,SPU_短袖_0397,ELIGIBLE,NONE
S01098,SPU_内衣_0398,ELIGIBLE,NONE
S01099,SPU_配饰_0399,ELIGIBLE,NONE
S01000,SPU_直筒裤_0400,ELIGIBLE,NONE
S01001,SPU_束脚裤_0401,ELIGIBLE,NONE
S01002,SPU_锥形裤_0402,ELIGIBLE,NONE
S01003,SPU_羽绒服_0403,INELIGIBLE,NONE
S01004,SPU_棉服_0404,INELIGIBLE,NONE
S01005,SPU_毛呢大_0405,INELIGIBLE,NONE
S01006,SPU_夹克_0406,INELIGIBLE,NONE
S01007,SPU_针织衫_0407,INELIGIBLE,NONE
S01008,SPU_T恤_0408,ELIGIBLE,NONE
S01009,SPU_短裤_0409,ELIGIBLE,NONE
S01010,SPU_短袖_0410,ELIGIBLE,NONE
S01011,SPU_内衣_0411,ELIGIBLE,ADD
S01012,SPU_配饰_0412,ELIGIBLE,NONE
S01013,SPU_直筒裤_0413,ELIGIBLE,NONE
S01014,SPU_束脚裤_0414,ELIGIBLE,NONE
S01015,SPU_锥形裤_0415,ELIGIBLE,NONE
S01016,SPU_羽绒服_0416,INELIGIBLE,NONE
S01017,SPU_棉服_0417,INELIGIBLE,NONE
S01018,SPU_毛呢大_0418,INELIGIBLE,NONE
S01019,SPU_夹克_0419,INELIGIBLE,NONE
S01020,SPU_针织衫_0420,INELIGIBLE,NONE
S01021,SPU_T恤_0421,ELIGIBLE,NONE
S01022,SPU_短裤_0422,ELIGIBLE,NONE
S01023,SPU_短袖_0423,ELIGIBLE,NONE
S01024,SPU_内衣_0424,ELIGIBLE,NONE
S01025,SPU_配饰_0425,ELIGIBLE,NONE
S01026,SPU_直筒裤_0426,ELIGIBLE,NONE
S01027,SPU_束脚裤_0427,ELIGIBLE,NONE
S01028,SPU_锥形裤_0428,ELIGIBLE,NONE
S01029,SPU_羽绒服_0429,INELIGIBLE,NONE
S01030,SPU_棉服_0430,INELIGIBLE,NONE
S01031,SPU_毛呢大_0431,INELIGIBLE,NONE
S01032,SPU_夹克_0432,INELIGIBLE,NONE
S01033,SPU_针织衫_0433,INELIGIBLE,NONE
S01034,SPU_T恤_0434,ELIGIBLE,NONE
S01035,SPU_短裤_0435,ELIGIBLE,NONE
S01036,SPU_短袖_0436,ELIGIBLE,NONE
S01037,SPU_内衣_0437,ELIGIBLE,NONE
S01038,SPU_配饰_0438,ELIGIBLE,ADD
S01039,SPU_直筒裤_0439,ELIGIBLE,NONE
S01040,SPU_束脚裤_0440,ELIGIBLE,NONE
S01041,SPU_锥形裤_0441,ELIGIBLE,NONE
S01042,SPU_羽绒服_0442,INELIGIBLE,NONE
S01043,SPU_棉服_0443,INELIGIBLE,NONE
S01044,SPU_毛呢大_0444,INELIGIBLE,NONE
S01045,SPU_夹克_0445,INELIGIBLE,NONE
S01046,SPU_针织衫_0446,INELIGIBLE,NONE
S01047,SPU_T恤_0447,ELIGIBLE,NONE
S01048,SPU_短裤_0448,ELIGIBLE,ADD
S01049,SPU_短袖_0449,ELIGIBLE,NONE
S01050,SPU_内衣_0450,ELIGIBLE,ADD
S01051,SPU_配饰_0451,ELIGIBLE,ADD
S01052,SPU_直筒裤_0452,ELIGIBLE,NONE
S01053,SPU_束脚裤_0453,ELIGIBLE,NONE
S01054,SPU_锥形裤_0454,ELIGIBLE,NONE
S01055,SPU_羽绒服_0455,INELIGIBLE,NONE
S01056,SPU_棉服_0456,INELIGIBLE,NONE
S01057,SPU_毛呢大_0457,INELIGIBLE,NONE
S01058,SPU_夹克_0458,INELIGIBLE,NONE
S01059,SPU_针织衫_0459,INELIGIBLE,NONE
S01060,SPU_T恤_0460,ELIGIBLE,NONE
S01061,SPU_短裤_0461,ELIGIBLE,NONE
S01062,SPU_短袖_0462,ELIGIBLE,NONE
S01063,SPU_内衣_0463,ELIGIBLE,NONE
S01064,SPU_配饰_0464,ELIGIBLE,NONE
S01065,SPU_直筒裤_0465,ELIGIBLE,NONE
S01066,SPU_束脚裤_0466,ELIGIBLE,NONE
S01067,SPU_锥形裤_0467,ELIGIBLE,ADD
S01068,SPU_羽绒服_0468,INELIGIBLE,NONE
S01069,SPU_棉服_0469,INELIGIBLE,NONE
S01070,SPU_毛呢大_0470,INELIGIBLE,NONE
S01071,SPU_夹克_0471,INELIGIBLE,NONE
S01072,SPU_针织衫_0472,INELIGIBLE,NONE
S01073,SPU_T恤_0473,ELIGIBLE,NONE
S01074,SPU_短裤_0474,ELIGIBLE,NONE
S01075,SPU_短袖_0475,ELIGIBLE,NONE
S01076,SPU_内衣_0476,ELIGIBLE,NONE
S01077,SPU_配饰_0477,ELIGIBLE,NONE
S01078,SPU_直筒裤_0478,ELIGIBLE,NONE
S01079,SPU_束脚裤_0479,ELIGIBLE,ADD
S01080,SPU_锥形裤_0480,ELIGIBLE,NONE
S01081,SPU_羽绒服_0481,INELIGIBLE,NONE
S01082,SPU_棉服_0482,INELIGIBLE,NONE
