str_code,spu_code,recommended_quantity_change,is_imbalanced
S01086,SPU_内衣_0086,0,False
S01087,SPU_配饰_0087,0,False
S01088,SPU_直筒裤_0088,3,True
S01089,SPU_束脚裤_0089,0,False
S01090,SPU_锥形裤_0090,0,False
S01091,SPU_羽绒服_0091,0,False
S01092,SPU_棉服_0092,0,False
S01093,SPU_毛呢大_0093,0,False
S01094,SPU_夹克_0094,0,False
S01095,SPU_针织衫_0095,0,False
S01096,SPU_T恤_0096,4,True
S01097,SPU_短裤_0097,0,False
S01098,SPU_短袖_0098,0,False
S01099,SPU_内衣_0099,0,False
S01000,SPU_配饰_0100,1,True
S01001,SPU_直筒裤_0101,0,False
S01002,SPU_束脚裤_0102,0,False
S01003,SPU_锥形裤_0103,0,False
S01004,SPU_羽绒服_0104,0,False
S01005,SPU_棉服_0105,0,False
S01006,SPU_毛呢大_0106,0,False
S01007,SPU_夹克_0107,0,False
S01008,SPU_针织衫_0108,0,False
S01009,SPU_T恤_0109,0,False
S01010,SPU_短裤_0110,0,False
S01011,SPU_短袖_0111,0,False
S01012,SPU_内衣_0112,0,False
S01013,SPU_配饰_0113,0,False
S01014,SPU_直筒裤_0114,0,False
S01015,SPU_束脚裤_0115,0,False
S01016,SPU_锥形裤_0116,3,True
S01017,SPU_羽绒服_0117,0,False
S01018,SPU_棉服_0118,0,False
S01019,SPU_毛呢大_0119,0,False
S01020,SPU_夹克_0120,0,False
S01021,SPU_针织衫_0121,0,False
S01022,SPU_T恤_0122,0,False
S01023,SPU_短裤_0123,0,False
S01024,SPU_短袖_0124,0,False
S01025,SPU_内衣_0125,0,False
S01026,SPU_配饰_0126,0,False
S01027,SPU_直筒裤_0127,0,False
S01028,SPU_束脚裤_0128,0,False
S01029,SPU_锥形裤_0129,0,False
S01030,SPU_羽绒服_0130,0,False
S01031,SPU_棉服_0131,0,False
S01032,SPU_毛呢大_0132,0,False
S01033,SPU_夹克_0133,0,False
S01034,SPU_针织衫_0134,0,False
S01035,SPU_T恤_0135,0,False
S01036,SPU_短裤_0136,0,False
S01037,SPU_短袖_0137,0,False
S01038,SPU_内衣_0138,0,False
S01039,SPU_配饰_0139,0,False
S01040,SPU_直筒裤_0140,0,False
S01041,SPU_束脚裤_0141,0,False
S01042,SPU_锥形裤_0142,0,False
S01043,SPU_羽绒服_0143,0,False
S01044,SPU_棉服_0144,0,False
S01045,SPU_毛呢大_0145,0,False
S01046,SPU_夹克_0146,0,False
S01047,SPU_针织衫_0147,0,False
S01048,SPU_T恤_0148,0,False
S01049,SPU_短裤_0149,0,False
S01050,SPU_短袖_0150,0,False
S01051,SPU_内衣_0151,0,False
S01052,SPU_配饰_0152,0,False
S01053,SPU_直筒裤_0153,0,False
S01054,SPU_束脚裤_0154,0,False
S01055,SPU_锥形裤_0155,0,False
S01056,SPU_羽绒服_0156,0,False
S01057,SPU_棉服_0157,0,False
S01058,SPU_毛呢大_0158,0,False
S01059,SPU_夹克_0159,0,False
S01060,SPU_针织衫_0160,0,False
S01061,SPU_T恤_0161,0,False
S01062,SPU_短裤_0162,0,False
S01063,SPU_短袖_0163,0,False
S01064,SPU_内衣_0164,0,False
S01065,SPU_配饰_0165,0,False
S01066,SPU_直筒裤_0166,0,False
S01067,SPU_束脚裤_0167,0,False
S01068,SPU_锥形裤_0168,0,False
S01069,SPU_羽绒服_0169,0,False
S01070,SPU_棉服_0170,0,False
S01071,SPU_毛呢大_0171,0,False
S01072,SPU_夹克_0172,0,False
S01073,SPU_针织衫_0173,0,False
S01074,SPU_T恤_0174,0,False
S01075,SPU_短裤_0175,0,False
S01076,SPU_短袖_0176,0,False
S01077,SPU_内衣_0177,0,False
S01078,SPU_配饰_0178,2,True
S01079,SPU_直筒裤_0179,0,False
S01080,SPU_束脚裤_0180,0,False
S01081,SPU_锥形裤_0181,0,False
S01082,SPU_羽绒服_0182,0,False
S01083,SPU_棉服_0183,0,False
S01084,SPU_毛呢大_0184,0,False
S01085,SPU_夹克_0185,0,False
S01086,SPU_针织衫_0186,0,False
S01087,SPU_T恤_0187,0,False
S01088,SPU_短裤_0188,0,False
S01089,SPU_短袖_0189,0,False
S01090,SPU_内衣_0190,0,False
S01091,SPU_配饰_0191,3,True
S01092,SPU_直筒裤_0192,0,False
S01093,SPU_束脚裤_0193,4,True
S01094,SPU_锥形裤_0194,0,False
S01095,SPU_羽绒服_0195,0,False
S01096,SPU_棉服_0196,0,False
S01097,SPU_毛呢大_0197,0,False
S01098,SPU_夹克_0198,0,False
S01099,SPU_针织衫_0199,0,False
S01000,SPU_T恤_0200,0,False
S01001,SPU_短裤_0201,0,False
S01002,SPU_短袖_0202,0,False
S01003,SPU_内衣_0203,0,False
S01004,SPU_配饰_0204,0,False
S01005,SPU_直筒裤_0205,0,False
S01006,SPU_束脚裤_0206,0,False
S01007,SPU_锥形裤_0207,0,False
S01008,SPU_羽绒服_0208,0,False
S01009,SPU_棉服_0209,0,False
S01010,SPU_毛呢大_0210,0,False
S01011,SPU_夹克_0211,0,False
S01012,SPU_针织衫_0212,0,False
S01013,SPU_T恤_0213,0,False
S01014,SPU_短裤_0214,0,False
S01015,SPU_短袖_0215,0,False
S01016,SPU_内衣_0216,0,False
S01017,SPU_配饰_0217,0,False
S01018,SPU_直筒裤_0218,0,False
S01019,SPU_束脚裤_0219,0,False
S01020,SPU_锥形裤_0220,0,False
S01021,SPU_羽绒服_0221,0,False
S01022,SPU_棉服_0222,0,False
S01023,SPU_毛呢大_0223,0,False
S01024,SPU_夹克_0224,0,False
S01025,SPU_针织衫_0225,0,False
S01026,SPU_T恤_0226,0,False
S01027,SPU_短裤_0227,0,False
S01028,SPU_短袖_0228,0,False
S01029,SPU_内衣_0229,0,False
S01030,SPU_配饰_0230,0,False
S01031,SPU_直筒裤_0231,0,False
S01032,SPU_束脚裤_0232,0,False
S01033,SPU_锥形裤_0233,0,False
S01034,SPU_羽绒服_0234,0,False
S01035,SPU_棉服_0235,0,False
S01036,SPU_毛呢大_0236,0,False
S01037,SPU_夹克_0237,0,False
S01038,SPU_针织衫_0238,0,False
S01039,SPU_T恤_0239,0,False
S01040,SPU_短裤_0240,0,False
S01041,SPU_短袖_0241,0,False
S01042,SPU_内衣_0242,0,False
S01043,SPU_配饰_0243,0,False
S01044,SPU_直筒裤_0244,0,False
S01045,SPU_束脚裤_0245,0,False
S01046,SPU_锥形裤_0246,0,False
S01047,SPU_羽绒服_0247,0,False
S01048,SPU_棉服_0248,0,False
S01049,SPU_毛呢大_0249,0,False
S01050,SPU_夹克_0250,0,False
S01051,SPU_针织衫_0251,0,False
S01052,SPU_T恤_0252,0,False
S01053,SPU_短裤_0253,0,False
S01054,SPU_短袖_0254,0,False
S01055,SPU_内衣_0255,0,False
S01056,SPU_配饰_0256,0,False
S01057,SPU_直筒裤_0257,0,False
S01058,SPU_束脚裤_0258,0,False
S01059,SPU_锥形裤_0259,0,False
S01060,SPU_羽绒服_0260,0,False
S01061,SPU_棉服_0261,0,False
S01062,SPU_毛呢大_0262,0,False
S01063,SPU_夹克_0263,0,False
S01064,SPU_针织衫_0264,0,False
S01065,SPU_T恤_0265,0,False
S01066,SPU_短裤_0266,0,False
S01067,SPU_短袖_0267,0,False
S01068,SPU_内衣_0268,0,False
S01069,SPU_配饰_0269,0,False
S01070,SPU_直筒裤_0270,0,False
S01071,SPU_束脚裤_0271,0,False
S01072,SPU_锥形裤_0272,0,False
S01073,SPU_羽绒服_0273,0,False
S01074,SPU_棉服_0274,0,False
S01075,SPU_毛呢大_0275,0,False
S01076,SPU_夹克_0276,0,False
S01077,SPU_针织衫_0277,0,False
S01078,SPU_T恤_0278,0,False
S01079,SPU_短裤_0279,0,False
S01080,SPU_短袖_0280,0,False
S01081,SPU_内衣_0281,0,False
S01082,SPU_配饰_0282,0,False
S01083,SPU_直筒裤_0283,0,False
S01084,SPU_束脚裤_0284,0,False
S01085,SPU_锥形裤_0285,0,False
S01086,SPU_羽绒服_0286,0,False
S01087,SPU_棉服_0287,0,False
S01088,SPU_毛呢大_0288,0,False
S01089,SPU_夹克_0289,0,False
S01090,SPU_针织衫_0290,0,False
S01091,SPU_T恤_0291,0,False
S01092,SPU_短裤_0292,0,False
S01093,SPU_短袖_0293,0,False
S01094,SPU_内衣_0294,0,False
S01095,SPU_配饰_0295,0,False
S01096,SPU_直筒裤_0296,4,True
S01097,SPU_束脚裤_0297,0,False
S01098,SPU_锥形裤_0298,0,False
S01099,SPU_羽绒服_0299,0,False
S01000,SPU_棉服_0300,0,False
S01001,SPU_毛呢大_0301,0,False
S01002,SPU_夹克_0302,0,False
S01003,SPU_针织衫_0303,0,False
S01004,SPU_T恤_0304,0,False
S01005,SPU_短裤_0305,0,False
S01006,SPU_短袖_0306,0,False
S01007,SPU_内衣_0307,0,False
S01008,SPU_配饰_0308,0,False
S01009,SPU_直筒裤_0309,0,False
S01010,SPU_束脚裤_0310,0,False
S01011,SPU_锥形裤_0311,0,False
S01012,SPU_羽绒服_0312,0,False
S01013,SPU_棉服_0313,0,False
S01014,SPU_毛呢大_0314,0,False
S01015,SPU_夹克_0315,0,False
S01016,SPU_针织衫_0316,0,False
S01017,SPU_T恤_0317,0,False
S01018,SPU_短裤_0318,0,False
S01019,SPU_短袖_0319,0,False
S01020,SPU_内衣_0320,0,False
S01021,SPU_配饰_0321,0,False
S01022,SPU_直筒裤_0322,0,False
S01023,SPU_束脚裤_0323,0,False
S01024,SPU_锥形裤_0324,0,False
S01025,SPU_羽绒服_0325,0,False
S01026,SPU_棉服_0326,0,False
S01027,SPU_毛呢大_0327,0,False
S01028,SPU_夹克_0328,0,False
S01029,SPU_针织衫_0329,0,False
S01030,SPU_T恤_0330,1,True
S01031,SPU_短裤_0331,0,False
S01032,SPU_短袖_0332,4,True
S01033,SPU_内衣_0333,0,False
S01034,SPU_配饰_0334,0,False
S01035,SPU_直筒裤_0335,0,False
S01036,SPU_束脚裤_0336,0,False
S01037,SPU_锥形裤_0337,0,False
S01038,SPU_羽绒服_0338,0,False
S01039,SPU_棉服_0339,0,False
S01040,SPU_毛呢大_0340,0,False
S01041,SPU_夹克_0341,0,False
S01042,SPU_针织衫_0342,0,False
S01043,SPU_T恤_0343,0,False
S01044,SPU_短裤_0344,2,True
S01045,SPU_短袖_0345,0,False
S01046,SPU_内衣_0346,0,False
S01047,SPU_配饰_0347,0,False
S01048,SPU_直筒裤_0348,0,False
S01049,SPU_束脚裤_0349,0,False
S01050,SPU_锥形裤_0350,0,False
S01051,SPU_羽绒服_0351,0,False
S01052,SPU_棉服_0352,0,False
S01053,SPU_毛呢大_0353,0,False
S01054,SPU_夹克_0354,0,False
S01055,SPU_针织衫_0355,0,False
S01056,SPU_T恤_0356,0,False
S01057,SPU_短裤_0357,0,False
S01058,SPU_短袖_0358,0,False
S01059,SPU_内衣_0359,0,False
S01060,SPU_配饰_0360,0,False
S01061,SPU_直筒裤_0361,0,False
S01062,SPU_束脚裤_0362,0,False
S01063,SPU_锥形裤_0363,0,False
S01064,SPU_羽绒服_0364,0,False
S01065,SPU_棉服_0365,0,False
S01066,SPU_毛呢大_0366,0,False
S01067,SPU_夹克_0367,0,False
S01068,SPU_针织衫_0368,0,False
S01069,SPU_T恤_0369,0,False
S01070,SPU_短裤_0370,0,False
S01071,SPU_短袖_0371,4,True
S01072,SPU_内衣_0372,0,False
S01073,SPU_配饰_0373,0,False
S01074,SPU_直筒裤_0374,0,False
S01075,SPU_束脚裤_0375,2,True
S01076,SPU_锥形裤_0376,0,False
S01077,SPU_羽绒服_0377,0,False
S01078,SPU_棉服_0378,0,False
S01079,SPU_毛呢大_0379,0,False
S01080,SPU_夹克_0380,0,False
S01081,SPU_针织衫_0381,0,False
S01082,SPU_T恤_0382,0,False
S01083,SPU_短裤_0383,0,False
S01084,SPU_短袖_0384,0,False
S01085,SPU_内衣_0385,0,False
S01086,SPU_配饰_0386,0,False
S01087,SPU_直筒裤_0387,0,False
S01088,SPU_束脚裤_0388,0,False
S01089,SPU_锥形裤_0389,0,False
S01090,SPU_羽绒服_0390,0,False
S01091,SPU_棉服_0391,0,False
S01092,SPU_毛呢大_0392,0,False
S01093,SPU_夹克_0393,0,False
S01094,SPU_针织衫_0394,0,False
S01095,SPU_T恤_0395,0,False
S01096,SPU_短裤_0396,3,True
S01097,SPU_短袖_0397,0,False
S01098,SPU_内衣_0398,0,False
S01099,SPU_配饰_0399,0,False
S01000,SPU_直筒裤_0400,0,False
S01001,SPU_束脚裤_0401,0,False
S01002,SPU_锥形裤_0402,2,True
S01003,SPU_羽绒服_0403,0,False
S01004,SPU_棉服_0404,0,False
S01005,SPU_毛呢大_0405,0,False
S01006,SPU_夹克_0406,0,False
S01007,SPU_针织衫_0407,0,False
S01008,SPU_T恤_0408,1,True
S01009,SPU_短裤_0409,3,True
S01010,SPU_短袖_0410,0,False
S01011,SPU_内衣_0411,0,False
S01012,SPU_配饰_0412,0,False
S01013,SPU_直筒裤_0413,0,False
S01014,SPU_束脚裤_0414,0,False
S01015,SPU_锥形裤_0415,0,False
S01016,SPU_羽绒服_0416,0,False
S01017,SPU_棉服_0417,0,False
S01018,SPU_毛呢大_0418,0,False
S01019,SPU_夹克_0419,0,False
S01020,SPU_针织衫_0420,0,False
S01021,SPU_T恤_0421,0,False
S01022,SPU_短裤_0422,0,False
S01023,SPU_短袖_0423,0,False
S01024,SPU_内衣_0424,0,False
S01025,SPU_配饰_0425,0,False
S01026,SPU_直筒裤_0426,0,False
S01027,SPU_束脚裤_0427,0,False
S01028,SPU_锥形裤_0428,0,False
S01029,SPU_羽绒服_0429,0,False
S01030,SPU_棉服_0430,0,False
S01031,SPU_毛呢大_0431,0,False
S01032,SPU_夹克_0432,0,False
S01033,SPU_针织衫_0433,0,False
S01034,SPU_T恤_0434,0,False
S01035,SPU_短裤_0435,0,False
S01036,SPU_短袖_0436,0,False
S01037,SPU_内衣_0437,0,False
S01038,SPU_配饰_0438,0,False
S01039,SPU_直筒裤_0439,0,False
S01040,SPU_束脚裤_0440,0,False
S01041,SPU_锥形裤_0441,0,False
S01042,SPU_羽绒服_0442,0,False
S01043,SPU_棉服_0443,0,False
S01044,SPU_毛呢大_0444,0,False
S01045,SPU_夹克_0445,0,False
S01046,SPU_针织衫_0446,0,False
S01047,SPU_T恤_0447,0,False
S01048,SPU_短裤_0448,0,False
S01049,SPU_短袖_0449,0,False
S01050,SPU_内衣_0450,0,False
S01051,SPU_配饰_0451,0,False
S01052,SPU_直筒裤_0452,3,True
S01053,SPU_束脚裤_0453,0,False
S01054,SPU_锥形裤_0454,0,False
S01055,SPU_羽绒服_0455,0,False
S01056,SPU_棉服_0456,0,False
S01057,SPU_毛呢大_0457,0,False
S01058,SPU_夹克_0458,0,False
S01059,SPU_针织衫_0459,0,False
S01060,SPU_T恤_0460,0,False
S01061,SPU_短裤_0461,0,False
S01062,SPU_短袖_0462,4,True
S01063,SPU_内衣_0463,0,False
S01064,SPU_配饰_0464,0,False
S01065,SPU_直筒裤_0465,0,False
S01066,SPU_束脚裤_0466,0,False
S01067,SPU_锥形裤_0467,0,False
S01068,SPU_羽绒服_0468,0,False
S01069,SPU_棉服_0469,0,False
S01070,SPU_毛呢大_0470,0,False
S01071,SPU_夹克_0471,0,False
S01072,SPU_针织衫_0472,0,False
S01073,SPU_T恤_0473,0,False
S01074,SPU_短裤_0474,0,False
S01075,SPU_短袖_0475,0,False
S01076,SPU_内衣_0476,0,False
S01077,SPU_配饰_0477,0,False
S01078,SPU_直筒裤_0478,0,False
S01079,SPU_束脚裤_0479,0,False
S01080,SPU_锥形裤_0480,0,False
S01081,SPU_羽绒服_0481,0,False
S01082,SPU_棉服_0482,0,False
S01083,SPU_毛呢大_0483,0,False
S01084,SPU_夹克_0484,0,False
S01085,SPU_针织衫_0485,0,False
S01086,SPU_T恤_0486,0,False
S01087,SPU_短裤_0487,2,True
S01088,SPU_短袖_0488,0,False
S01089,SPU_内衣_0489,0,False
S01090,SPU_配饰_0490,1,True
S01091,SPU_直筒裤_0491,4,True
S01092,SPU_束脚裤_0492,4,True
S01093,SPU_锥形裤_0493,0,False
S01094,SPU_羽绒服_0494,0,False
S01095,SPU_棉服_0495,0,False
S01096,SPU_毛呢大_0496,0,False
S01097,SPU_夹克_0497,0,False
S01098,SPU_针织衫_0498,0,False
S01099,SPU_T恤_0499,0,False
S01000,SPU_短裤_0500,0,False
S01001,SPU_短袖_0501,0,False
S01002,SPU_内衣_0502,0,False
S01003,SPU_配饰_0503,0,False
S01004,SPU_直筒裤_0504,0,False
S01005,SPU_束脚裤_0505,0,False
S01006,SPU_锥形裤_0506,0,False
S01007,SPU_羽绒服_0507,0,False
S01008,SPU_棉服_0508,0,False
S01009,SPU_毛呢大_0509,0,False
S01010,SPU_夹克_0510,0,False
S01011,SPU_针织衫_0511,0,False
S01012,SPU_T恤_0512,0,False
S01013,SPU_短裤_0513,0,False
S01014,SPU_短袖_0514,0,False
S01015,SPU_内衣_0515,0,False
S01016,SPU_配饰_0516,0,False
S01017,SPU_直筒裤_0517,0,False
S01018,SPU_束脚裤_0518,0,False
S01019,SPU_锥形裤_0519,1,True
S01020,SPU_羽绒服_0520,0,False
S01021,SPU_棉服_0521,0,False
S01022,SPU_毛呢大_0522,0,False
S01023,SPU_夹克_0523,0,False
S01024,SPU_针织衫_0524,0,False
S01025,SPU_T恤_0525,0,False
S01026,SPU_短裤_0526,0,False
S01027,SPU_短袖_0527,0,False
S01028,SPU_内衣_0528,0,False
S01029,SPU_配饰_0529,0,False
S01030,SPU_直筒裤_0530,0,False
S01031,SPU_束脚裤_0531,0,False
S01032,SPU_锥形裤_0532,0,False
S01033,SPU_羽绒服_0533,0,False
S01034,SPU_棉服_0534,0,False
S01035,SPU_毛呢大_0535,0,False
S01036,SPU_夹克_0536,0,False
S01037,SPU_针织衫_0537,0,False
S01038,SPU_T恤_0538,1,True
S01039,SPU_短裤_0539,3,True
S01040,SPU_短袖_0540,0,False
S01041,SPU_内衣_0541,0,False
S01042,SPU_配饰_0542,0,False
S01043,SPU_直筒裤_0543,0,False
S01044,SPU_束脚裤_0544,4,True
S01045,SPU_锥形裤_0545,1,True
S01046,SPU_羽绒服_0546,0,False
S01047,SPU_棉服_0547,0,False
S01048,SPU_毛呢大_0548,0,False
S01049,SPU_夹克_0549,0,False
S01050,SPU_针织衫_0550,0,False
S01051,SPU_T恤_0551,0,False
S01052,SPU_短裤_0552,0,False
S01053,SPU_短袖_0553,0,False
S01054,SPU_内衣_0554,0,False
S01055,SPU_配饰_0555,0,False
S01056,SPU_直筒裤_0556,0,False
S01057,SPU_束脚裤_0557,0,False
S01058,SPU_锥形裤_0558,0,False
S01059,SPU_羽绒服_0559,0,False
S01060,SPU_棉服_0560,0,False
S01061,SPU_毛呢大_0561,0,False
S01062,SPU_夹克_0562,0,False
S01063,SPU_针织衫_0563,0,False
S01064,SPU_T恤_0564,0,False
S01065,SPU_短裤_0565,0,False
S01066,SPU_短袖_0566,0,False
S01067,SPU_内衣_0567,0,False
S01068,SPU_配饰_0568,0,False
S01069,SPU_直筒裤_0569,0,False
S01070,SPU_束脚裤_0570,0,False
S01071,SPU_锥形裤_0571,0,False
S01072,SPU_羽绒服_0572,0,False
S01073,SPU_棉服_0573,0,False
S01074,SPU_毛呢大_0574,0,False
S01075,SPU_夹克_0575,0,False
S01076,SPU_针织衫_0576,0,False
S01077,SPU_T恤_0577,0,False
S01078,SPU_短裤_0578,0,False
S01079,SPU_短袖_0579,0,False
S01080,SPU_内衣_0580,2,True
S01081,SPU_配饰_0581,0,False
S01082,SPU_直筒裤_0582,3,True
S01083,SPU_束脚裤_0583,0,False
S01084,SPU_锥形裤_0584,0,False
S01085,SPU_羽绒服_0585,0,False
S01086,SPU_棉服_0586,0,False
S01087,SPU_毛呢大_0587,0,False
S01088,SPU_夹克_0588,0,False
S01089,SPU_针织衫_0589,0,False
S01090,SPU_T恤_0590,3,True
S01091,SPU_短裤_0591,1,True
S01092,SPU_短袖_0592,0,False
S01093,SPU_内衣_0593,0,False
S01094,SPU_配饰_0594,0,False
S01095,SPU_直筒裤_0595,0,False
S01096,SPU_束脚裤_0596,0,False
S01097,SPU_锥形裤_0597,3,True
S01098,SPU_羽绒服_0598,0,False
S01099,SPU_棉服_0599,0,False
S01000,SPU_毛呢大_0600,0,False
S01001,SPU_夹克_0601,0,False
S01002,SPU_针织衫_0602,0,False
S01003,SPU_T恤_0603,1,True
S01004,SPU_短裤_0604,0,False
S01005,SPU_短袖_0605,0,False
S01006,SPU_内衣_0606,0,False
S01007,SPU_配饰_0607,0,False
S01008,SPU_直筒裤_0608,0,False
S01009,SPU_束脚裤_0609,0,False
S01010,SPU_锥形裤_0610,0,False
S01011,SPU_羽绒服_0611,0,False
S01012,SPU_棉服_0612,0,False
S01013,SPU_毛呢大_0613,0,False
S01014,SPU_夹克_0614,0,False
S01015,SPU_针织衫_0615,0,False
S01016,SPU_T恤_0616,0,False
S01017,SPU_短裤_0617,0,False
S01018,SPU_短袖_0618,0,False
S01019,SPU_内衣_0619,0,False
S01020,SPU_配饰_0620,0,False
S01021,SPU_直筒裤_0621,0,False
S01022,SPU_束脚裤_0622,0,False
S01023,SPU_锥形裤_0623,0,False
S01024,SPU_羽绒服_0624,0,False
S01025,SPU_棉服_0625,0,False
S01026,SPU_毛呢大_0626,0,False
S01027,SPU_夹克_0627,0,False
S01028,SPU_针织衫_0628,0,False
S01029,SPU_T恤_0629,0,False
S01030,SPU_短裤_0630,0,False
S01031,SPU_短袖_0631,0,False
S01032,SPU_内衣_0632,4,True
S01033,SPU_配饰_0633,0,False
S01034,SPU_直筒裤_0634,0,False
S01035,SPU_束脚裤_0635,0,False
S01036,SPU_锥形裤_0636,0,False
S01037,SPU_羽绒服_0637,0,False
S01038,SPU_棉服_0638,0,False
S01039,SPU_毛呢大_0639,0,False
S01040,SPU_夹克_0640,0,False
S01041,SPU_针织衫_0641,0,False
S01042,SPU_T恤_0642,3,True
S01043,SPU_短裤_0643,0,False
S01044,SPU_短袖_0644,0,False
S01045,SPU_内衣_0645,0,False
S01046,SPU_配饰_0646,0,False
S01047,SPU_直筒裤_0647,0,False
S01048,SPU_束脚裤_0648,0,False
S01049,SPU_锥形裤_0649,0,False
S01050,SPU_羽绒服_0650,0,False
S01051,SPU_棉服_0651,0,False
S01052,SPU_毛呢大_0652,0,False
S01053,SPU_夹克_0653,0,False
S01054,SPU_针织衫_0654,0,False
S01055,SPU_T恤_0655,0,False
S01056,SPU_短裤_0656,0,False
S01057,SPU_短袖_0657,0,False
S01058,SPU_内衣_0658,0,False
S01059,SPU_配饰_0659,0,False
S01060,SPU_直筒裤_0660,0,False
S01061,SPU_束脚裤_0661,3,True
S01062,SPU_锥形裤_0662,0,False
S01063,SPU_羽绒服_0663,0,False
S01064,SPU_棉服_0664,0,False
S01065,SPU_毛呢大_0665,0,False
S01066,SPU_夹克_0666,0,False
S01067,SPU_针织衫_0667,0,False
S01068,SPU_T恤_0668,0,False
S01069,SPU_短裤_0669,0,False
S01070,SPU_短袖_0670,0,False
S01071,SPU_内衣_0671,0,False
S01072,SPU_配饰_0672,0,False
S01073,SPU_直筒裤_0673,0,False
S01074,SPU_束脚裤_0674,0,False
S01075,SPU_锥形裤_0675,0,False
S01076,SPU_羽绒服_0676,0,False
S01077,SPU_棉服_0677,0,False
S01078,SPU_毛呢大_0678,0,False
S01079,SPU_夹克_0679,0,False
S01080,SPU_针织衫_0680,0,False
S01081,SPU_T恤_0681,0,False
S01082,SPU_短裤_0682,3,True
S01083,SPU_短袖_0683,0,False
S01084,SPU_内衣_0684,0,False
S01085,SPU_配饰_0685,0,False
S01086,SPU_直筒裤_0686,0,False
S01087,SPU_束脚裤_0687,0,False
S01088,SPU_锥形裤_0688,0,False
S01089,SPU_羽绒服_0689,0,False
S01090,SPU_棉服_0690,0,False
S01091,SPU_毛呢大_0691,0,False
S01092,SPU_夹克_0692,0,False
S01093,SPU_针织衫_0693,0,False
S01094,SPU_T恤_0694,0,False
S01095,SPU_短裤_0695,0,False
S01096,SPU_短袖_0696,0,False
S01097,SPU_内衣_0697,0,False
S01098,SPU_配饰_0698,0,False
S01099,SPU_直筒裤_0699,0,False
S01000,SPU_束脚裤_0700,0,False
S01001,SPU_锥形裤_0701,0,False
